GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 26, 2026",PHX vs. LAL,W,14,6,2,3,2,1,0
"Feb 24, 2026",PHX vs. BOS,L,19,0,3,2,1,0,0
"Feb 22, 2026",PHX vs. POR,L,21,8,2,3,2,1,1
"Feb 21, 2026",PHX vs. ORL,W,2,0,0,0,0,0,0
"Feb 19, 2026",PHX @ SAS,L,18,7,3,2,1,1,2
"Feb 11, 2026",PHX vs. OKC,L,27,11,3,6,0,1,1
"Feb 07, 2026",PHX vs. PHI,L,8,2,0,0,0,0,2
"Feb 05, 2026",PHX vs. GSW,L,20,4,3,4,2,0,1
"Feb 03, 2026",PHX @ POR,W,15,0,1,1,0,1,0
"Feb 01, 2026",PHX vs. LAC,L,10,2,1,0,1,0,0
"Jan 30, 2026",PHX vs. CLE,W,21,7,0,5,1,1,2
"Jan 29, 2026",PHX vs. DET,W,20,6,2,1,2,0,1
"Jan 27, 2026",PHX vs. BKN,W,24,10,3,1,1,1,2
"Jan 25, 2026",PHX vs. MIA,L,13,5,2,0,0,0,2
"Jan 04, 2026",PHX vs. OKC,W,9,0,2,1,0,0,0
"Jan 02, 2026",PHX vs. SAC,W,23,12,6,1,4,0,0
"Dec 31, 2025",PHX @ CLE,L,15,18,3,4,0,0,0
"Dec 29, 2025",PHX @ WAS,W,13,2,1,3,0,0,2
"Dec 27, 2025",PHX @ NOP,W,12,12,3,0,0,0,0
"Dec 26, 2025",PHX @ NOP,W,12,3,2,2,0,0,0
"Dec 23, 2025",PHX vs. LAL,W,24,14,4,2,0,1,1
"Dec 20, 2025",PHX @ GSW,L,16,5,2,2,1,2,1
"Dec 18, 2025",PHX vs. GSW,W,14,4,4,1,1,1,0
"Dec 14, 2025",PHX vs. LAL,L,6,2,1,0,0,0,0
"Dec 10, 2025",PHX @ OKC,L,28,14,2,6,1,1,2
"Dec 08, 2025",PHX @ MIN,W,12,5,1,1,0,0,0
"Dec 05, 2025",PHX @ HOU,L,18,18,2,1,1,0,0
"Dec 01, 2025",PHX @ LAL,W,23,7,1,5,3,0,1
"Nov 29, 2025",PHX vs. DEN,L,15,3,2,3,1,1,0
"Nov 28, 2025",PHX @ OKC,L,14,9,2,0,0,0,0
"Nov 26, 2025",PHX @ SAC,W,19,11,1,0,0,0,0
"Nov 24, 2025",PHX vs. HOU,L,3,3,0,0,0,0,0
"Nov 18, 2025",PHX @ POR,W,3,3,0,1,0,1,0
