GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",TOR vs. DAL,W,4,0,0,0,0,0,0
"Mar 05, 2026",TOR @ MIN,L,10,2,5,1,0,0,0
"Mar 03, 2026",TOR vs. NYK,L,5,0,0,0,0,0,0
"Feb 28, 2026",TOR @ WAS,W,17,6,4,0,0,0,0
"Feb 25, 2026",TOR vs. SAS,L,6,2,0,0,0,0,1
"Feb 24, 2026",TOR vs. OKC,L,9,2,1,1,0,0,0
"Feb 22, 2026",TOR @ MIL,W,9,5,3,0,0,0,0
"Feb 11, 2026",TOR vs. DET,L,4,0,0,0,0,0,0
"Feb 08, 2026",TOR vs. IND,W,7,0,2,0,0,0,0
"Feb 05, 2026",TOR vs. CHI,W,14,2,1,1,0,0,0
"Feb 01, 2026",TOR vs. UTA,W,4,0,1,0,0,0,1
"Jan 28, 2026",TOR vs. NYK,L,2,0,0,0,0,0,0
"Jan 23, 2026",TOR @ POR,W,9,3,0,0,0,0,1
"Jan 21, 2026",TOR @ SAC,W,8,3,3,0,0,0,0
"Jan 20, 2026",TOR @ GSW,W,15,9,2,3,0,1,0
"Jan 18, 2026",TOR @ LAL,L,8,0,2,0,0,0,0
"Jan 14, 2026",TOR @ IND,W,20,5,3,1,0,0,2
"Jan 12, 2026",TOR vs. PHI,L,8,3,2,0,0,0,1
"Jan 11, 2026",TOR vs. PHI,W,15,5,2,0,0,0,1
"Jan 09, 2026",TOR @ BOS,L,12,2,2,1,1,0,0
"Jan 07, 2026",TOR @ CHA,W,8,2,1,0,0,0,0
"Dec 31, 2025",TOR vs. DEN,L,6,2,1,0,0,0,0
"Dec 29, 2025",TOR vs. ORL,W,4,2,1,0,0,0,0
"Dec 28, 2025",TOR vs. GSW,W,1,0,0,0,0,0,0
"Dec 26, 2025",TOR @ WAS,L,10,0,0,1,0,0,0
"Dec 23, 2025",TOR @ MIA,W,15,11,2,1,2,0,1
"Dec 21, 2025",TOR @ BKN,L,12,4,3,1,0,0,0
"Dec 20, 2025",TOR vs. BOS,L,6,0,2,1,0,0,0
"Dec 18, 2025",TOR @ MIL,W,5,0,2,1,0,0,1
"Dec 05, 2025",TOR vs. CHA,L,14,3,3,1,0,0,0
"Dec 04, 2025",TOR vs. LAL,L,16,10,3,1,0,0,0
"Nov 30, 2025",TOR @ NYK,L,11,4,1,0,0,0,1
"Nov 26, 2025",TOR vs. IND,W,14,2,3,0,0,0,0
"Nov 24, 2025",TOR vs. CLE,W,2,3,0,0,0,0,0
"Nov 21, 2025",TOR vs. WAS,W,4,2,2,0,0,0,1
"Nov 19, 2025",TOR @ PHI,W,3,2,0,0,0,0,0
"Nov 13, 2025",TOR @ CLE,W,6,2,1,0,0,0,1
"Nov 11, 2025",TOR @ BKN,W,13,3,3,1,0,0,0
"Nov 08, 2025",TOR @ PHI,L,0,0,0,0,0,0,0
"Nov 07, 2025",TOR @ ATL,W,6,0,0,0,1,0,0
"Nov 04, 2025",TOR vs. MIL,W,5,2,0,1,0,0,0
"Nov 02, 2025",TOR vs. MEM,W,2,0,0,0,0,0,0
"Oct 31, 2025",TOR @ CLE,W,15,20,1,0,0,1,1
"Oct 26, 2025",TOR @ DAL,L,7,3,1,0,0,0,1
"Oct 24, 2025",TOR vs. MIL,L,11,9,2,0,1,0,1
"Oct 22, 2025",TOR @ ATL,W,9,2,3,0,0,0,0
