GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",IND @ POR,L,31,14,3,1,2,0,2
"Mar 06, 2026",IND @ LAL,L,27,10,9,5,1,0,2
"Mar 04, 2026",IND @ LAC,L,31,17,5,5,0,0,2
"Mar 01, 2026",IND vs. MEM,L,25,21,3,2,0,1,2
"Feb 26, 2026",IND vs. CHA,L,31,16,6,1,1,1,2
"Feb 24, 2026",IND vs. PHI,L,32,8,10,6,1,1,2
"Feb 22, 2026",IND vs. DAL,L,34,18,9,6,2,0,2
"Feb 20, 2026",IND @ WAS,L,31,12,12,6,1,0,5
"Feb 19, 2026",IND @ WAS,L,30,19,14,7,2,0,5
"Feb 11, 2026",IND @ BKN,W,32,23,5,3,1,1,2
"Feb 08, 2026",IND @ TOR,L,28,13,6,2,1,0,4
"Feb 06, 2026",IND @ MIL,L,30,15,9,1,1,1,2
"Feb 03, 2026",IND vs. UTA,L,32,24,6,4,1,0,8
"Feb 02, 2026",IND vs. HOU,L,23,12,4,1,1,0,0
"Jan 31, 2026",IND vs. ATL,W,26,11,10,4,0,0,1
"Jan 28, 2026",IND vs. CHI,W,22,16,0,0,0,0,0
"Jan 26, 2026",IND @ ATL,L,30,12,7,3,5,1,3
"Jan 23, 2026",IND @ OKC,W,31,26,4,3,2,0,2
"Jan 21, 2026",IND @ BOS,L,29,19,3,2,2,0,0
"Jan 19, 2026",IND @ PHI,L,22,8,5,2,0,2,1
"Jan 17, 2026",IND @ DET,L,26,13,5,2,1,0,4
"Jan 16, 2026",IND vs. NOP,W,21,6,1,3,0,1,0
"Jan 14, 2026",IND vs. TOR,L,18,11,1,2,0,0,0
"Jan 12, 2026",IND vs. BOS,W,25,11,7,1,1,0,1
"Jan 10, 2026",IND vs. MIA,W,30,13,9,4,4,1,1
"Jan 08, 2026",IND @ CHA,W,13,2,3,1,1,0,1
"Jan 06, 2026",IND vs. CLE,L,18,10,2,3,1,0,0
"Jan 04, 2026",IND @ ORL,L,16,6,1,3,0,0,0
"Jan 02, 2026",IND vs. SAS,L,11,11,0,0,1,0,1
"Dec 31, 2025",IND vs. ORL,L,18,9,4,0,1,0,0
"Dec 29, 2025",IND @ HOU,L,24,12,2,3,1,0,1
"Dec 27, 2025",IND @ MIA,L,21,3,3,1,0,0,3
"Dec 26, 2025",IND vs. BOS,L,18,12,3,2,0,0,0
"Dec 23, 2025",IND vs. MIL,L,17,4,2,0,0,0,1
"Dec 22, 2025",IND @ BOS,L,15,2,4,0,1,0,1
"Dec 20, 2025",IND @ NOP,L,20,7,5,3,1,1,0
"Dec 18, 2025",IND vs. NYK,L,16,6,3,1,0,0,2
"Dec 14, 2025",IND vs. WAS,L,22,12,3,0,0,1,1
"Dec 12, 2025",IND @ PHI,L,18,3,7,1,1,0,2
"Dec 08, 2025",IND vs. SAC,W,18,12,3,1,0,0,2
"Dec 05, 2025",IND @ CHI,W,9,3,1,0,0,0,1
"Dec 03, 2025",IND vs. DEN,L,22,11,3,0,0,0,1
"Dec 01, 2025",IND vs. CLE,L,29,7,5,3,2,0,2
"Nov 29, 2025",IND vs. CHI,W,20,4,2,1,0,1,1
"Nov 28, 2025",IND vs. WAS,W,23,10,7,1,0,1,1
"Nov 26, 2025",IND @ TOR,L,27,13,9,2,2,1,3
"Nov 24, 2025",IND vs. DET,L,27,21,6,2,1,0,2
"Nov 21, 2025",IND @ CLE,L,17,6,4,0,0,0,0
"Nov 19, 2025",IND vs. CHA,W,26,9,4,0,0,0,2
"Nov 17, 2025",IND @ DET,L,28,8,3,1,2,0,3
"Nov 15, 2025",IND vs. TOR,L,30,8,8,2,2,0,4
"Nov 13, 2025",IND @ PHX,L,26,2,4,2,0,1,1
"Nov 11, 2025",IND @ UTA,L,22,11,1,0,1,1,3
"Nov 09, 2025",IND @ GSW,L,32,12,2,0,0,1,6
"Nov 08, 2025",IND @ DEN,L,22,8,5,2,0,0,1
"Nov 05, 2025",IND vs. BKN,L,32,6,6,6,0,1,1
"Nov 03, 2025",IND vs. MIL,L,38,18,8,5,0,0,2
"Nov 01, 2025",IND vs. GSW,W,30,6,9,5,0,0,4
"Oct 31, 2025",IND vs. ATL,L,28,17,3,3,0,0,1
"Oct 29, 2025",IND @ DAL,L,36,20,6,5,3,1,1
"Oct 26, 2025",IND @ MIN,L,26,5,7,4,0,1,2
"Oct 25, 2025",IND @ MEM,L,27,6,7,3,0,1,1
"Oct 23, 2025",IND vs. OKC,L,30,13,4,4,1,0,2
