GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",MIN vs. ORL,L,5,0,0,0,0,0,0
"Mar 05, 2026",MIN vs. TOR,W,3,0,0,0,0,0,0
"Feb 22, 2026",MIN vs. PHI,L,8,2,1,0,0,0,1
"Feb 11, 2026",MIN vs. POR,W,8,5,2,1,2,0,1
"Feb 09, 2026",MIN vs. ATL,W,5,3,0,0,0,0,0
"Feb 08, 2026",MIN vs. LAC,L,4,8,1,0,1,0,1
"Feb 06, 2026",MIN vs. NOP,L,14,0,5,0,0,0,0
"Feb 04, 2026",MIN @ TOR,W,6,0,0,0,1,0,0
"Feb 02, 2026",MIN @ MEM,L,8,0,0,0,0,0,0
"Jan 31, 2026",MIN @ MEM,W,17,5,2,0,1,0,1
"Jan 29, 2026",MIN vs. OKC,W,15,7,3,1,0,1,0
"Jan 28, 2026",MIN @ DAL,W,11,0,1,1,0,0,0
"Jan 26, 2026",MIN vs. GSW,W,25,4,3,2,2,0,0
"Jan 25, 2026",MIN vs. GSW,L,9,0,0,1,0,0,1
"Jan 22, 2026",MIN vs. CHI,L,12,2,1,1,0,0,0
"Jan 20, 2026",MIN @ UTA,L,17,4,2,0,1,0,0
"Jan 17, 2026",MIN @ SAS,L,10,0,3,2,0,1,0
"Jan 16, 2026",MIN @ HOU,L,11,0,2,0,0,0,0
"Jan 13, 2026",MIN @ MIL,W,18,4,6,2,2,0,0
"Jan 11, 2026",MIN vs. SAS,W,9,2,0,1,0,0,1
"Jan 10, 2026",MIN @ CLE,L,15,1,3,1,0,0,0
"Jan 08, 2026",MIN vs. CLE,W,11,5,0,0,1,0,1
"Jan 06, 2026",MIN vs. MIA,W,12,2,4,0,0,0,0
"Jan 04, 2026",MIN @ WAS,W,28,12,2,3,3,1,0
"Jan 03, 2026",MIN @ MIA,W,5,2,0,0,0,0,0
"Dec 31, 2025",MIN @ ATL,L,16,3,0,0,1,1,1
"Dec 29, 2025",MIN @ CHI,W,19,11,4,0,3,1,0
"Dec 27, 2025",MIN vs. BKN,L,15,6,2,0,0,0,0
"Dec 25, 2025",MIN @ DEN,L,5,2,0,0,0,0,0
"Dec 23, 2025",MIN vs. NYK,W,14,5,1,3,0,0,2
"Dec 21, 2025",MIN vs. MIL,W,6,0,0,0,1,0,0
"Dec 17, 2025",MIN vs. MEM,L,9,2,1,0,1,1,1
"Dec 14, 2025",MIN vs. SAC,W,17,2,1,0,0,0,2
"Dec 12, 2025",MIN @ GSW,W,19,2,1,2,2,0,0
"Dec 08, 2025",MIN vs. PHX,L,12,3,2,1,0,0,0
"Dec 06, 2025",MIN vs. LAC,W,16,8,3,0,1,0,0
"Dec 04, 2025",MIN @ NOP,W,14,12,2,0,1,0,0
"Dec 02, 2025",MIN @ NOP,W,15,6,2,0,0,0,0
"Nov 30, 2025",MIN vs. SAS,W,11,8,0,0,1,0,0
"Nov 29, 2025",MIN vs. BOS,W,12,0,1,0,0,0,0
"Nov 26, 2025",MIN @ OKC,L,7,0,0,0,0,0,1
"Nov 24, 2025",MIN @ SAC,L,6,0,3,0,0,0,0
"Nov 21, 2025",MIN @ PHX,L,8,1,3,0,1,0,0
"Nov 19, 2025",MIN vs. WAS,W,26,7,5,0,3,1,0
"Nov 17, 2025",MIN vs. DAL,W,19,5,6,0,1,0,0
"Nov 15, 2025",MIN vs. DEN,L,11,3,2,0,0,0,1
"Nov 14, 2025",MIN vs. SAC,W,22,5,1,0,1,0,0
"Nov 10, 2025",MIN @ UTA,W,13,2,1,0,1,0,1
"Nov 09, 2025",MIN @ SAC,W,15,11,2,1,0,0,1
"Nov 07, 2025",MIN vs. UTA,W,20,6,1,2,2,1,0
"Nov 05, 2025",MIN @ NYK,L,13,3,1,0,1,0,0
"Nov 03, 2025",MIN @ BKN,W,20,2,5,2,0,0,1
"Nov 01, 2025",MIN @ CHA,W,19,6,1,0,1,0,0
"Oct 26, 2025",MIN vs. IND,W,15,6,2,0,1,0,0
"Oct 24, 2025",MIN @ LAL,L,13,9,3,1,0,0,0
"Oct 22, 2025",MIN @ POR,W,16,2,4,3,2,0,1
