GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",CLE vs. BOS,L,25,8,6,1,0,0,1
"Mar 03, 2026",CLE vs. DET,W,32,22,3,4,0,2,1
"Mar 01, 2026",CLE @ BKN,W,28,9,1,2,0,0,3
"Feb 27, 2026",CLE @ DET,L,41,15,4,1,2,0,1
"Feb 25, 2026",CLE @ MIL,L,35,14,10,3,2,0,0
"Feb 24, 2026",CLE vs. NYK,W,27,12,8,2,1,1,1
"Feb 22, 2026",CLE @ OKC,L,16,7,4,0,1,0,1
"Feb 20, 2026",CLE @ CHA,W,17,5,1,0,0,0,1
"Feb 19, 2026",CLE vs. BKN,W,23,11,5,2,0,1,1
"Feb 11, 2026",CLE vs. WAS,W,21,7,5,1,1,0,0
"Feb 09, 2026",CLE @ DEN,W,31,16,3,1,0,0,2
"Feb 07, 2026",CLE @ SAC,W,27,10,6,0,0,0,3
"Feb 04, 2026",CLE @ LAC,W,25,17,4,1,1,0,2
"Feb 01, 2026",CLE @ POR,W,30,18,3,6,0,0,4
"Jan 30, 2026",CLE @ PHX,L,25,16,4,3,0,0,0
"Jan 28, 2026",CLE vs. LAL,W,29,20,6,6,1,0,1
"Jan 26, 2026",CLE vs. ORL,W,35,14,9,4,1,1,3
"Jan 24, 2026",CLE @ ORL,W,32,17,5,4,0,0,2
"Jan 23, 2026",CLE vs. SAC,W,36,17,7,4,0,0,3
"Jan 21, 2026",CLE @ CHA,W,31,14,7,4,1,0,2
"Jan 19, 2026",CLE vs. OKC,L,33,16,10,4,0,0,4
"Jan 16, 2026",CLE @ PHI,W,38,39,5,4,0,0,4
"Jan 14, 2026",CLE @ PHI,W,25,12,5,3,1,0,2
"Jan 12, 2026",CLE vs. UTA,L,25,11,4,2,2,0,2
"Jan 10, 2026",CLE vs. MIN,W,26,23,2,2,0,0,2
"Jan 08, 2026",CLE @ MIN,L,18,4,5,1,1,0,1
"Jan 06, 2026",CLE @ IND,W,27,3,2,4,1,0,1
"Jan 04, 2026",CLE vs. DET,L,25,6,7,3,1,2,2
"Jan 02, 2026",CLE vs. DEN,W,24,8,5,1,0,0,1
"Dec 31, 2025",CLE vs. PHX,W,31,18,2,3,0,0,1
"Dec 29, 2025",CLE @ SAS,W,22,11,3,2,3,0,1
"Dec 27, 2025",CLE @ HOU,L,30,23,15,0,1,1,3
"Dec 25, 2025",CLE @ NYK,L,20,16,6,1,1,0,2
"Dec 23, 2025",CLE vs. NOP,W,25,18,6,2,0,1,0
"Dec 22, 2025",CLE vs. CHA,W,20,0,1,3,3,0,2
"Dec 19, 2025",CLE vs. CHI,L,26,9,5,1,1,0,5
"Dec 17, 2025",CLE @ CHI,L,32,21,2,3,1,1,3
"Dec 14, 2025",CLE vs. CHA,L,35,16,13,1,1,0,1
"Dec 12, 2025",CLE @ WAS,W,31,13,6,3,0,0,0
"Dec 06, 2025",CLE vs. GSW,L,34,11,11,3,0,0,1
"Dec 05, 2025",CLE vs. SAS,W,33,24,6,2,0,2,2
"Dec 03, 2025",CLE vs. POR,L,33,14,7,2,0,0,0
"Dec 01, 2025",CLE @ IND,W,31,27,11,4,1,0,2
"Nov 30, 2025",CLE vs. BOS,L,34,17,5,1,2,2,0
"Nov 28, 2025",CLE @ ATL,L,21,9,2,1,3,0,0
"Nov 24, 2025",CLE @ TOR,L,34,15,9,2,1,1,3
"Nov 23, 2025",CLE vs. LAC,W,23,7,4,0,0,0,0
"Nov 21, 2025",CLE vs. IND,W,27,14,8,3,0,0,0
"Nov 10, 2025",CLE @ MIA,L,31,9,9,1,3,1,0
"Nov 08, 2025",CLE vs. CHI,W,31,17,7,3,2,2,0
"Nov 07, 2025",CLE @ WAS,W,23,10,4,2,1,0,0
"Nov 05, 2025",CLE vs. PHI,W,29,10,5,3,2,1,0
"Nov 02, 2025",CLE vs. ATL,W,25,18,3,2,0,0,1
"Oct 31, 2025",CLE vs. TOR,L,33,18,3,4,0,3,2
"Oct 29, 2025",CLE @ BOS,L,27,19,5,1,3,0,3
"Oct 27, 2025",CLE @ DET,W,28,3,2,1,0,0,1
"Oct 26, 2025",CLE vs. MIL,W,15,5,0,1,0,0,1
"Oct 24, 2025",CLE @ BKN,W,23,8,4,1,3,1,1
"Oct 22, 2025",CLE @ NYK,L,20,5,2,1,0,1,2
