GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",ORL @ MIL,W,24,5,2,2,0,0,1
"Mar 07, 2026",ORL @ MIN,W,19,6,2,4,0,0,3
"Mar 05, 2026",ORL vs. DAL,W,19,8,2,4,0,0,1
"Mar 03, 2026",ORL vs. WAS,W,30,10,3,6,0,0,0
"Mar 01, 2026",ORL vs. DET,L,30,2,3,3,2,1,0
"Feb 26, 2026",ORL vs. HOU,L,22,14,2,3,1,1,2
"Feb 24, 2026",ORL @ LAL,W,16,0,4,0,1,0,0
"Feb 22, 2026",ORL @ LAC,W,19,0,2,4,1,1,0
"Feb 21, 2026",ORL @ PHX,L,33,15,2,2,2,2,3
"Feb 19, 2026",ORL @ SAC,W,23,14,3,4,1,0,1
"Feb 09, 2026",ORL vs. MIL,W,4,0,1,0,0,0,0
"Jan 31, 2026",CHI @ MIA,W,20,11,5,1,1,2,1
"Jan 26, 2026",CHI vs. LAL,L,1,0,0,0,0,0,0
"Jan 20, 2026",CHI vs. LAC,W,4,3,0,0,1,0,0
"Jan 18, 2026",CHI vs. BKN,W,3,2,0,0,0,0,0
"Jan 10, 2026",CHI vs. DAL,W,3,3,0,0,0,0,0
"Jan 07, 2026",CHI @ DET,L,2,0,0,0,0,0,1
"Jan 05, 2026",CHI @ BOS,L,12,6,1,1,0,0,0
"Dec 31, 2025",CHI vs. NOP,W,6,3,0,0,0,0,1
"Dec 29, 2025",CHI vs. MIN,L,5,0,0,0,0,0,0
"Dec 07, 2025",CHI vs. GSW,L,22,13,1,2,3,0,1
"Dec 05, 2025",CHI vs. IND,L,22,14,3,1,1,0,0
"Dec 03, 2025",CHI vs. BKN,L,16,6,3,1,0,0,0
"Dec 01, 2025",CHI @ ORL,L,5,0,0,0,0,0,2
"Nov 29, 2025",CHI @ IND,L,11,3,1,2,1,0,1
"Nov 28, 2025",CHI @ CHA,L,10,2,0,2,0,0,0
"Nov 24, 2025",CHI @ NOP,L,18,11,1,1,1,0,0
"Nov 22, 2025",CHI vs. WAS,W,11,2,2,0,1,0,0
"Nov 21, 2025",CHI vs. MIA,L,18,10,1,0,1,0,2
"Nov 19, 2025",CHI @ POR,W,11,3,1,1,1,0,0
"Nov 17, 2025",CHI @ DEN,W,18,15,4,1,0,0,1
"Nov 12, 2025",CHI @ DET,L,17,11,2,3,2,0,1
"Nov 10, 2025",CHI vs. SAS,L,8,6,1,1,0,0,0
"Nov 02, 2025",CHI @ NYK,L,12,0,0,2,0,0,0
