GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",UTA @ MIL,L,26,2,3,0,0,1,0
"Mar 05, 2026",UTA @ WAS,W,37,0,5,4,5,1,2
"Mar 04, 2026",UTA @ PHI,L,19,0,2,3,1,1,0
"Mar 02, 2026",UTA vs. DEN,L,23,6,2,1,0,2,0
"Feb 28, 2026",UTA vs. NOP,L,15,3,2,0,2,0,1
"Feb 26, 2026",UTA vs. NOP,L,26,4,5,1,5,2,2
"Feb 23, 2026",UTA @ HOU,L,24,5,4,2,3,0,1
"Feb 20, 2026",UTA @ MEM,L,31,6,6,4,4,0,2
"Feb 12, 2026",UTA vs. POR,L,25,6,7,3,3,2,0
"Feb 11, 2026",UTA vs. SAC,W,19,0,1,0,1,1,0
"Feb 09, 2026",UTA @ MIA,W,16,0,0,2,0,0,0
"Feb 07, 2026",UTA @ ORL,L,18,4,7,3,1,1,1
"Jan 30, 2026",MEM @ NOP,L,22,9,4,2,0,0,2
"Jan 28, 2026",MEM vs. CHA,L,25,8,6,3,2,2,1
"Jan 26, 2026",MEM @ HOU,L,20,0,3,1,2,0,0
"Jan 23, 2026",MEM vs. NOP,L,20,0,4,1,1,2,3
"Jan 21, 2026",MEM vs. ATL,L,21,2,4,0,2,1,1
"Jan 18, 2026",MEM vs. ORL,W,17,3,3,3,4,1,0
"Jan 15, 2026",MEM @ ORL,L,18,6,8,3,0,0,0
"Jan 11, 2026",MEM vs. BKN,W,5,0,1,0,1,0,0
"Dec 07, 2025",MEM vs. POR,W,17,2,3,1,3,0,0
"Dec 05, 2025",MEM vs. LAC,W,16,5,1,1,1,0,0
"Dec 02, 2025",MEM @ SAS,L,18,13,2,3,0,0,0
"Nov 30, 2025",MEM @ SAC,W,12,2,3,0,0,1,0
"Nov 28, 2025",MEM @ LAC,W,11,0,2,2,1,1,0
"Nov 26, 2025",MEM @ NOP,W,14,7,2,0,1,0,0
"Nov 24, 2025",MEM vs. DEN,L,8,0,2,2,1,0,0
"Nov 22, 2025",MEM @ DAL,W,20,4,7,1,0,0,2
"Nov 20, 2025",MEM vs. SAC,W,20,3,7,3,2,0,1
"Nov 18, 2025",MEM @ SAS,L,14,0,3,3,1,0,0
"Nov 15, 2025",MEM @ CLE,L,14,2,2,1,2,1,0
"Nov 12, 2025",MEM @ BOS,L,6,0,0,0,0,0,0
"Nov 11, 2025",MEM @ NYK,L,3,0,1,0,0,0,0
"Nov 09, 2025",MEM vs. OKC,L,9,3,3,3,0,0,1
"Nov 07, 2025",MEM vs. DAL,W,9,0,2,0,2,1,0
"Nov 02, 2025",MEM @ TOR,L,6,0,2,0,0,0,0
"Oct 31, 2025",MEM vs. LAL,L,13,6,1,2,0,0,0
"Oct 29, 2025",MEM @ PHX,W,17,5,3,0,0,0,1
"Oct 27, 2025",MEM @ GSW,L,21,3,4,1,1,0,1
"Oct 25, 2025",MEM vs. IND,W,25,9,5,2,3,2,0
"Oct 24, 2025",MEM vs. MIA,L,8,3,1,1,1,1,0
"Oct 22, 2025",MEM vs. NOP,W,8,0,3,1,0,0,1
