GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2026",DEN vs. NYK,L,2,2,0,0,0,0,2
"Mar 05, 2026",DEN vs. LAL,W,10,4,4,1,0,0,2
"Mar 02, 2026",DEN @ UTA,W,17,13,6,1,1,0,0
"Mar 01, 2026",DEN vs. MIN,L,10,2,5,0,0,1,1
"Feb 27, 2026",DEN @ OKC,L,8,6,2,0,1,0,2
"Feb 25, 2026",DEN vs. BOS,W,12,11,6,2,0,1,0
"Feb 22, 2026",DEN @ GSW,L,12,6,3,2,1,0,0
"Feb 20, 2026",DEN @ POR,W,12,6,7,1,0,0,1
"Feb 19, 2026",DEN @ LAC,L,12,6,4,0,2,0,2
"Feb 11, 2026",DEN vs. MEM,W,14,9,6,0,0,0,1
"Feb 09, 2026",DEN vs. CLE,L,15,12,4,0,0,0,2
"Feb 07, 2026",DEN @ CHI,W,13,10,4,1,0,1,1
"Feb 04, 2026",DEN @ NYK,L,13,2,3,2,0,0,2
"Feb 03, 2026",DEN @ DET,L,22,11,11,1,1,3,1
"Feb 01, 2026",DEN vs. OKC,L,13,13,3,2,0,1,2
"Jan 30, 2026",DEN vs. LAC,W,21,11,6,2,0,2,2
"Jan 29, 2026",DEN vs. BKN,W,25,12,9,3,1,0,0
"Jan 27, 2026",DEN vs. DET,L,31,16,16,1,0,1,4
"Jan 22, 2026",DEN @ WAS,W,22,16,9,2,0,0,0
"Dec 31, 2025",DEN @ TOR,W,23,17,9,4,1,3,1
"Dec 29, 2025",DEN @ MIA,L,16,6,4,1,0,1,2
"Dec 27, 2025",DEN @ ORL,L,10,4,4,1,0,0,3
"Dec 25, 2025",DEN vs. MIN,W,10,2,4,1,0,0,1
"Dec 23, 2025",DEN @ DAL,L,14,8,1,1,0,0,1
"Dec 22, 2025",DEN vs. UTA,W,16,12,11,1,0,0,0
"Dec 20, 2025",DEN vs. HOU,L,16,10,1,1,1,1,1
"Dec 18, 2025",DEN vs. ORL,W,13,10,5,0,1,2,2
"Dec 15, 2025",DEN vs. HOU,W,14,8,3,1,0,0,2
"Dec 11, 2025",DEN @ SAC,W,19,15,6,2,0,0,2
"Dec 07, 2025",DEN @ CHA,W,13,8,4,3,1,1,1
"Dec 05, 2025",DEN @ ATL,W,12,8,4,2,0,0,1
"Dec 03, 2025",DEN @ IND,W,11,9,3,0,1,0,1
"Dec 01, 2025",DEN vs. DAL,L,11,8,7,2,0,0,0
"Nov 29, 2025",DEN @ PHX,W,15,9,3,3,0,1,1
"Nov 28, 2025",DEN vs. SAS,L,12,4,8,1,0,0,1
"Nov 24, 2025",DEN @ MEM,W,14,6,6,1,1,0,1
"Nov 22, 2025",DEN vs. SAC,L,11,8,2,1,0,1,1
"Nov 21, 2025",DEN @ HOU,W,16,8,1,0,0,1,1
"Nov 19, 2025",DEN @ NOP,W,16,14,7,0,0,0,0
"Nov 17, 2025",DEN vs. CHI,L,5,2,2,0,0,0,2
"Nov 15, 2025",DEN @ MIN,W,12,6,6,2,0,1,0
"Nov 12, 2025",DEN @ LAC,W,11,8,3,1,0,1,1
"Nov 11, 2025",DEN @ SAC,W,15,10,7,1,0,1,2
"Nov 08, 2025",DEN vs. IND,W,14,6,5,3,0,1,1
"Nov 07, 2025",DEN vs. GSW,W,16,16,6,1,0,0,0
"Nov 05, 2025",DEN vs. MIA,W,11,6,6,0,0,0,2
"Nov 03, 2025",DEN vs. SAC,W,12,8,3,0,1,2,0
"Oct 31, 2025",DEN @ POR,L,11,10,3,1,0,1,2
"Oct 29, 2025",DEN vs. NOP,W,14,10,6,3,0,0,2
"Oct 27, 2025",DEN @ MIN,W,10,4,4,0,0,1,1
"Oct 25, 2025",DEN vs. PHX,W,13,12,7,1,0,0,1
"Oct 23, 2025",DEN @ GSW,L,12,8,3,2,0,1,0
