GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",NYK @ LAL,L,10,9,0,1,0,0,0
"Mar 06, 2026",NYK @ DEN,W,7,7,3,0,1,0,0
"Feb 27, 2026",NYK @ MIL,W,6,0,0,0,0,0,0
"Feb 24, 2026",NYK @ CLE,L,1,0,0,0,0,0,0
"Feb 11, 2026",NYK @ PHI,W,13,8,0,0,0,1,1
"Feb 10, 2026",NYK vs. IND,L,13,4,0,0,0,0,1
"Feb 08, 2026",NYK @ BOS,W,8,0,2,1,0,1,0
"Feb 06, 2026",NYK @ DET,L,19,11,4,5,0,0,2
"Feb 04, 2026",NYK vs. DEN,W,24,11,1,1,0,0,1
"Feb 03, 2026",NYK @ WAS,W,21,12,0,2,0,0,1
"Jan 28, 2026",NYK @ TOR,W,7,0,1,0,0,0,0
"Jan 21, 2026",NYK vs. BKN,W,12,3,3,2,1,0,1
"Jan 19, 2026",NYK vs. DAL,L,2,1,0,0,1,0,0
"Jan 17, 2026",NYK vs. PHX,L,22,6,3,0,0,0,1
"Jan 15, 2026",NYK @ GSW,L,18,11,2,1,0,0,1
"Jan 14, 2026",NYK @ SAC,L,23,11,3,1,2,1,0
"Jan 11, 2026",NYK @ POR,W,13,3,0,1,1,0,1
"Jan 09, 2026",NYK @ PHX,L,21,12,1,0,0,0,1
"Jan 07, 2026",NYK vs. LAC,W,21,12,3,2,1,0,1
"Jan 05, 2026",NYK @ DET,L,20,8,1,1,0,0,1
"Jan 03, 2026",NYK vs. PHI,L,19,3,1,0,0,0,1
"Jan 02, 2026",NYK vs. ATL,L,14,5,0,0,0,0,0
"Dec 31, 2025",NYK @ SAS,L,24,20,2,2,0,0,0
"Dec 29, 2025",NYK @ NOP,W,13,9,2,1,0,0,1
"Dec 27, 2025",NYK @ ATL,W,21,3,2,1,1,0,2
"Dec 25, 2025",NYK vs. CLE,W,29,25,1,2,3,0,0
"Dec 23, 2025",NYK @ MIN,L,30,10,1,1,0,0,1
"Dec 21, 2025",NYK vs. MIA,W,18,10,2,1,0,0,2
"Dec 19, 2025",NYK vs. PHI,L,16,9,2,0,1,0,3
"Dec 18, 2025",NYK @ IND,W,29,18,3,1,1,0,1
"Dec 13, 2025",NYK @ ORL,W,13,2,0,1,0,0,1
"Dec 09, 2025",NYK @ TOR,W,26,12,3,0,0,0,1
"Dec 07, 2025",NYK vs. ORL,W,17,0,2,0,0,0,2
"Dec 05, 2025",NYK vs. UTA,W,31,16,4,5,2,0,2
"Dec 03, 2025",NYK vs. CHA,W,21,6,3,2,1,0,1
"Dec 02, 2025",NYK @ BOS,L,23,4,0,0,0,1,0
"Nov 30, 2025",NYK vs. TOR,W,21,13,1,2,0,1,2
"Nov 28, 2025",NYK vs. MIL,W,22,6,4,3,0,0,1
"Nov 26, 2025",NYK @ CHA,W,14,8,2,0,1,0,0
"Nov 24, 2025",NYK @ BKN,W,20,12,0,1,0,0,4
"Nov 22, 2025",NYK @ ORL,L,34,15,2,5,0,1,3
"Nov 19, 2025",NYK @ DAL,W,20,8,4,0,0,0,0
"Nov 17, 2025",NYK @ MIA,L,26,14,3,3,1,0,1
"Nov 14, 2025",NYK vs. MIA,W,33,24,5,3,0,0,0
"Nov 12, 2025",NYK vs. ORL,L,11,5,1,1,1,0,1
"Nov 11, 2025",NYK vs. MEM,W,17,13,3,2,0,0,1
"Nov 09, 2025",NYK vs. BKN,W,18,11,2,3,2,0,1
"Nov 05, 2025",NYK vs. MIN,W,16,7,0,0,1,0,1
"Nov 03, 2025",NYK vs. WAS,W,21,15,1,2,0,0,1
"Nov 02, 2025",NYK vs. CHI,W,18,15,0,2,0,0,0
"Oct 31, 2025",NYK @ CHI,L,13,6,1,2,0,1,2
"Oct 28, 2025",NYK @ MIL,L,17,10,1,1,0,0,2
"Oct 26, 2025",NYK @ MIA,L,15,8,3,2,0,0,1
"Oct 24, 2025",NYK vs. BOS,W,16,6,3,0,0,1,1
"Oct 22, 2025",NYK vs. CLE,W,13,4,1,1,0,0,0
