GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 04, 2026",BOS vs. CHA,L,16,2,5,0,0,0,0
"Mar 02, 2026",BOS @ MIL,W,16,0,7,1,0,0,0
"Mar 01, 2026",BOS vs. PHI,W,14,6,1,0,0,0,0
"Feb 27, 2026",BOS vs. BKN,W,15,6,3,0,0,0,3
"Feb 25, 2026",BOS @ DEN,L,14,4,3,0,0,0,0
"Feb 24, 2026",BOS @ PHX,W,9,5,4,0,0,0,0
"Feb 22, 2026",BOS @ LAL,W,8,0,1,0,0,1,2
"Feb 19, 2026",BOS @ GSW,W,7,5,2,0,0,0,2
"Feb 11, 2026",BOS vs. CHI,W,29,16,6,2,3,2,0
"Feb 08, 2026",BOS vs. NYK,L,13,2,6,1,1,0,1
"Feb 04, 2026",BOS @ HOU,W,15,2,4,0,1,0,1
"Feb 03, 2026",BOS @ DAL,W,11,0,0,0,0,0,0
"Feb 01, 2026",BOS vs. MIL,W,20,6,5,3,0,1,1
"Jan 30, 2026",BOS vs. SAC,W,16,5,3,0,1,1,0
"Jan 28, 2026",BOS vs. ATL,L,21,4,7,1,1,1,1
"Jan 26, 2026",BOS vs. POR,W,3,1,1,0,0,0,1
"Jan 24, 2026",BOS @ CHI,L,18,7,1,0,0,0,0
"Jan 23, 2026",BOS @ BKN,W,15,5,0,2,0,0,0
"Jan 21, 2026",BOS vs. IND,W,17,3,5,0,1,1,0
"Jan 19, 2026",BOS @ DET,L,16,2,1,0,0,0,1
"Jan 17, 2026",BOS @ ATL,W,11,0,2,1,0,0,0
"Jan 15, 2026",BOS @ MIA,W,20,4,8,1,0,1,0
"Jan 12, 2026",BOS @ IND,L,26,6,9,1,3,0,1
"Jan 10, 2026",BOS vs. SAS,L,13,0,3,0,0,0,0
"Jan 09, 2026",BOS vs. TOR,W,12,0,0,0,0,0,0
"Jan 07, 2026",BOS vs. DEN,L,14,1,1,1,1,0,0
"Jan 05, 2026",BOS vs. CHI,W,18,5,5,0,0,0,0
"Jan 03, 2026",BOS @ LAC,W,30,13,13,2,0,1,1
"Jan 01, 2026",BOS @ SAC,W,5,0,1,0,0,0,0
"Dec 30, 2025",BOS @ UTA,W,13,6,3,0,0,0,0
"Dec 28, 2025",BOS @ POR,L,10,5,1,0,1,0,1
"Dec 26, 2025",BOS @ IND,W,19,3,2,3,0,0,0
"Dec 20, 2025",BOS @ TOR,W,13,0,4,0,0,1,1
"Dec 19, 2025",BOS vs. MIA,W,22,6,7,1,0,2,1
"Dec 15, 2025",BOS vs. DET,L,18,8,6,0,2,0,2
"Dec 11, 2025",BOS @ MIL,L,32,20,8,0,3,0,1
"Dec 07, 2025",BOS @ TOR,W,26,9,6,0,3,0,0
"Dec 05, 2025",BOS vs. LAL,W,26,17,4,1,1,2,1
"Dec 04, 2025",BOS @ WAS,W,30,22,7,3,2,1,0
"Dec 02, 2025",BOS vs. NYK,W,19,8,6,1,1,1,0
"Nov 30, 2025",BOS @ CLE,W,38,14,11,1,2,1,4
"Nov 29, 2025",BOS @ MIN,L,20,0,2,0,1,0,0
"Nov 26, 2025",BOS vs. DET,W,29,7,6,4,2,0,1
"Nov 23, 2025",BOS vs. ORL,W,24,5,3,2,0,1,2
"Nov 21, 2025",BOS vs. BKN,L,24,9,6,0,1,0,1
"Nov 18, 2025",BOS @ BKN,W,11,4,1,0,0,0,0
"Nov 16, 2025",BOS vs. LAC,W,33,6,8,3,3,1,0
"Nov 12, 2025",BOS vs. MEM,W,18,7,6,0,0,2,0
"Nov 11, 2025",BOS @ PHI,L,29,8,7,1,2,2,0
"Nov 09, 2025",BOS @ ORL,W,26,6,6,4,2,0,0
"Nov 07, 2025",BOS @ ORL,L,19,2,6,0,1,1,2
"Nov 05, 2025",BOS vs. WAS,W,24,7,7,1,2,0,0
"Nov 01, 2025",BOS vs. HOU,L,19,10,4,1,0,0,0
"Oct 29, 2025",BOS vs. CLE,W,1,0,0,0,0,0,0
"Oct 27, 2025",BOS @ NOP,W,1,0,0,0,0,0,0
"Oct 24, 2025",BOS @ NYK,L,2,0,0,0,0,0,0
