GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2026",SAS vs. LAC,W,29,20,9,1,0,0,2
"Mar 05, 2026",SAS vs. DET,W,31,16,7,1,0,0,0
"Mar 03, 2026",SAS @ PHI,W,22,10,7,2,0,0,1
"Mar 01, 2026",SAS @ NYK,L,24,3,4,1,1,1,1
"Feb 26, 2026",SAS @ BKN,W,24,26,2,2,3,2,0
"Feb 25, 2026",SAS @ TOR,W,28,10,6,5,1,0,0
"Feb 23, 2026",SAS @ DET,W,36,17,6,1,1,2,1
"Feb 21, 2026",SAS vs. SAC,W,28,8,4,3,1,0,0
"Feb 19, 2026",SAS vs. PHX,W,22,8,6,1,0,0,0
"Feb 11, 2026",SAS @ GSW,W,20,0,3,1,0,1,0
"Feb 10, 2026",SAS @ LAL,W,18,8,2,2,1,0,1
"Feb 07, 2026",SAS vs. DAL,W,15,5,2,0,1,1,0
"Feb 05, 2026",SAS @ DAL,W,27,14,7,1,1,0,1
"Feb 04, 2026",SAS vs. OKC,W,27,8,5,3,0,0,2
"Feb 01, 2026",SAS vs. ORL,W,31,11,8,1,0,0,0
"Jan 31, 2026",SAS @ CHA,L,29,13,5,1,0,2,0
"Jan 28, 2026",SAS @ HOU,W,21,2,3,0,0,0,1
"Jan 25, 2026",SAS vs. NOP,L,29,13,4,1,0,0,0
"Jan 22, 2026",SAS @ UTA,W,34,17,3,3,1,1,1
"Jan 20, 2026",SAS @ HOU,L,34,27,8,2,2,0,0
"Jan 19, 2026",SAS vs. UTA,W,28,13,4,0,0,0,0
"Jan 17, 2026",SAS vs. MIN,W,32,7,5,2,1,0,3
"Jan 15, 2026",SAS vs. MIL,W,24,13,11,1,1,0,2
"Jan 13, 2026",SAS @ OKC,L,34,13,6,1,0,1,0
"Jan 11, 2026",SAS @ MIN,L,36,14,10,1,0,0,1
"Jan 10, 2026",SAS @ BOS,W,35,12,13,3,0,1,0
"Jan 07, 2026",SAS vs. LAL,W,34,11,9,3,0,0,2
"Jan 06, 2026",SAS @ MEM,L,32,23,8,2,3,0,2
"Jan 03, 2026",SAS vs. POR,L,33,20,10,4,0,0,1
"Jan 02, 2026",SAS @ IND,W,25,9,8,1,1,0,0
"Dec 31, 2025",SAS vs. NYK,W,36,36,6,0,0,1,1
"Dec 29, 2025",SAS vs. CLE,L,24,7,6,0,1,0,1
"Dec 27, 2025",SAS vs. UTA,L,26,4,5,0,1,0,0
"Dec 25, 2025",SAS @ OKC,W,20,0,5,1,0,1,1
"Dec 23, 2025",SAS vs. OKC,W,22,4,10,0,1,1,3
"Dec 21, 2025",SAS @ WAS,W,18,3,3,1,0,0,1
"Dec 19, 2025",SAS @ ATL,W,18,6,4,3,3,0,0
"Dec 18, 2025",SAS vs. WAS,W,26,12,7,2,0,0,1
"Dec 13, 2025",SAS @ OKC,W,27,3,8,2,0,1,1
"Dec 10, 2025",SAS @ LAL,W,29,16,7,2,1,1,1
"Dec 08, 2025",SAS @ NOP,W,29,17,6,3,2,0,0
"Dec 05, 2025",SAS @ CLE,L,35,11,4,1,3,0,0
"Dec 03, 2025",SAS @ ORL,W,28,14,5,0,0,0,1
"Dec 02, 2025",SAS vs. MEM,W,35,7,6,2,0,1,1
"Nov 30, 2025",SAS @ MIN,L,25,5,4,1,1,0,1
"Nov 28, 2025",SAS @ DEN,W,36,25,10,2,1,2,0
"Nov 26, 2025",SAS @ POR,W,32,12,11,2,0,2,1
"Nov 23, 2025",SAS @ PHX,L,30,10,12,1,1,0,1
"Nov 20, 2025",SAS vs. ATL,W,31,20,4,5,0,1,1
"Nov 18, 2025",SAS vs. MEM,W,24,9,1,0,0,0,1
"Nov 16, 2025",SAS vs. SAC,W,26,12,2,0,1,0,1
"Nov 14, 2025",SAS vs. GSW,L,23,14,2,0,0,0,1
"Nov 12, 2025",SAS vs. GSW,L,20,6,3,1,0,1,1
"Nov 10, 2025",SAS @ CHI,W,22,0,2,1,3,0,3
"Nov 08, 2025",SAS vs. NOP,W,26,14,1,2,0,0,1
"Nov 07, 2025",SAS vs. HOU,W,31,22,7,1,4,1,2
"Nov 05, 2025",SAS @ LAL,L,33,14,7,0,1,0,4
"Nov 02, 2025",SAS @ PHX,L,29,9,4,1,2,0,1
"Oct 30, 2025",SAS vs. MIA,W,31,2,5,2,2,1,1
"Oct 27, 2025",SAS vs. TOR,W,23,9,9,1,0,1,1
"Oct 26, 2025",SAS vs. BKN,W,31,13,6,2,0,0,0
"Oct 24, 2025",SAS @ NOP,W,36,7,8,3,1,0,1
"Oct 22, 2025",SAS @ DAL,W,25,5,4,2,1,0,0
