GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 04, 2026",PHI vs. UTA,W,15,5,2,4,2,0,0
"Mar 03, 2026",PHI vs. SAS,L,26,9,1,3,0,0,1
"Feb 24, 2026",PHI @ IND,W,7,2,0,1,1,0,0
"Feb 22, 2026",PHI @ MIN,W,3,5,0,0,0,0,0
"Feb 21, 2026",PHI @ NOP,L,6,2,0,0,0,0,0
"Feb 11, 2026",PHI vs. NYK,L,22,4,3,1,1,0,0
"Feb 09, 2026",PHI @ POR,L,25,12,4,2,3,0,1
"Feb 07, 2026",PHI @ PHX,W,17,2,0,0,1,0,1
"Feb 05, 2026",PHI @ LAL,L,5,2,1,0,0,0,0
"Feb 03, 2026",PHI @ GSW,W,2,0,0,0,0,0,0
"Jan 29, 2026",PHI vs. SAC,W,7,3,1,0,0,0,0
"Jan 27, 2026",PHI vs. MIL,W,24,8,3,1,1,0,1
"Jan 26, 2026",PHI @ CHA,L,16,4,1,2,1,0,0
"Jan 20, 2026",PHI vs. PHX,L,12,5,1,2,0,1,0
"Jan 19, 2026",PHI vs. IND,W,1,0,0,0,0,0,0
"Jan 14, 2026",PHI vs. CLE,L,7,6,0,0,1,0,0
"Jan 12, 2026",PHI @ TOR,W,1,0,0,0,0,0,0
"Jan 07, 2026",PHI vs. WAS,W,6,1,0,0,0,0,0
"Dec 30, 2025",PHI @ MEM,W,4,0,0,0,1,0,0
"Dec 28, 2025",PHI @ OKC,L,20,12,5,1,0,1,1
"Dec 26, 2025",PHI @ CHI,L,4,0,0,1,1,0,0
"Dec 23, 2025",PHI vs. BKN,L,20,4,2,0,1,0,1
"Dec 20, 2025",PHI vs. DAL,W,14,0,0,2,1,0,1
"Dec 19, 2025",PHI @ NYK,W,14,8,1,0,2,0,0
"Dec 14, 2025",PHI @ ATL,L,9,0,2,1,1,1,0
"Dec 12, 2025",PHI vs. IND,W,19,0,2,3,0,0,0
"Dec 05, 2025",PHI @ MIL,W,1,0,0,0,0,0,0
"Dec 04, 2025",PHI vs. GSW,W,22,8,3,1,1,1,1
"Dec 02, 2025",PHI vs. WAS,W,33,9,1,3,1,0,1
"Nov 30, 2025",PHI vs. ATL,L,10,0,2,1,0,0,0
"Nov 28, 2025",PHI @ BKN,W,16,4,0,1,2,0,1
"Nov 25, 2025",PHI vs. ORL,L,22,13,1,1,2,0,4
"Nov 23, 2025",PHI vs. MIA,L,32,7,4,3,2,2,3
"Nov 20, 2025",PHI @ MIL,W,31,7,4,3,2,0,1
"Nov 19, 2025",PHI vs. TOR,L,23,8,2,2,1,0,2
"Nov 17, 2025",PHI vs. LAC,W,18,0,5,4,0,0,0
"Nov 14, 2025",PHI @ DET,L,17,13,1,1,0,0,1
"Nov 11, 2025",PHI vs. BOS,W,27,22,3,3,1,0,1
"Nov 08, 2025",PHI vs. TOR,W,7,3,2,1,0,1,1
"Nov 05, 2025",PHI @ CLE,L,16,8,3,1,0,0,0
"Nov 02, 2025",PHI @ BKN,W,10,2,0,1,1,1,0
"Oct 31, 2025",PHI vs. BOS,L,12,2,4,1,0,0,0
"Oct 28, 2025",PHI @ WAS,W,14,3,0,0,0,0,0
"Oct 27, 2025",PHI vs. ORL,W,19,5,1,1,0,0,0
"Oct 25, 2025",PHI vs. CHA,W,12,9,1,0,0,0,2
"Oct 22, 2025",PHI @ BOS,W,0,0,0,0,0,0,0
