GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 01, 2026",DEN vs. MIN,L,1,0,0,0,0,0,0
"Feb 25, 2026",DEN vs. BOS,W,14,2,4,4,1,0,0
"Feb 20, 2026",DEN @ POR,W,7,3,1,4,0,0,0
"Dec 18, 2025",CHA vs. ATL,W,13,4,0,2,1,0,2
"Dec 14, 2025",CHA @ CLE,W,19,6,0,4,2,0,3
"Dec 12, 2025",CHA vs. CHI,L,25,10,5,3,1,0,1
"Dec 07, 2025",CHA vs. DEN,L,29,16,5,1,1,0,0
"Dec 05, 2025",CHA @ TOR,W,28,8,3,4,5,0,7
"Dec 03, 2025",CHA @ NYK,L,4,1,0,1,0,0,0
"Nov 23, 2025",CHA @ ATL,L,12,5,2,2,1,0,1
"Nov 19, 2025",CHA @ IND,L,3,0,0,0,0,0,0
"Nov 15, 2025",CHA vs. OKC,L,18,9,1,5,2,0,2
"Nov 12, 2025",CHA vs. MIL,W,9,2,2,2,0,0,0
"Nov 10, 2025",CHA vs. LAL,L,20,8,3,4,0,0,3
"Nov 07, 2025",CHA @ MIA,L,13,0,1,3,1,0,0
"Nov 04, 2025",CHA @ NOP,L,13,8,3,0,0,0,1
"Nov 02, 2025",CHA vs. UTA,W,17,7,4,4,1,0,4
