GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",LAC @ MEM,W,28,28,5,2,2,0,0
"Mar 06, 2026",LAC @ SAS,L,37,30,9,3,3,0,2
"Mar 04, 2026",LAC vs. IND,W,23,29,8,2,1,0,0
"Mar 02, 2026",LAC @ GSW,W,29,23,8,4,2,0,1
"Mar 01, 2026",LAC vs. NOP,W,29,23,3,5,1,0,2
"Feb 22, 2026",LAC vs. ORL,L,33,37,8,4,3,2,3
"Feb 20, 2026",LAC @ LAL,L,31,31,4,5,0,0,5
"Feb 19, 2026",LAC vs. DEN,W,33,23,4,3,0,0,2
"Feb 11, 2026",LAC @ HOU,W,33,27,12,4,4,0,4
"Feb 10, 2026",LAC @ HOU,L,31,24,8,3,1,0,1
"Feb 08, 2026",LAC @ MIN,W,34,41,8,2,4,0,2
"Feb 06, 2026",LAC @ SAC,W,36,31,9,7,2,0,2
"Feb 04, 2026",LAC vs. CLE,L,27,25,7,4,1,0,4
"Feb 02, 2026",LAC vs. PHI,L,31,29,4,6,3,0,2
"Feb 01, 2026",LAC @ PHX,W,30,25,8,5,0,0,2
"Jan 30, 2026",LAC @ DEN,L,31,21,3,6,2,0,2
"Jan 27, 2026",LAC @ UTA,W,28,21,7,4,0,1,2
"Jan 25, 2026",LAC vs. BKN,W,25,28,5,2,1,1,1
"Jan 22, 2026",LAC vs. LAL,W,26,24,5,4,1,0,2
"Jan 14, 2026",LAC vs. WAS,W,30,33,3,4,4,0,1
"Jan 12, 2026",LAC vs. CHA,W,31,35,5,3,0,0,1
"Jan 10, 2026",LAC @ DET,W,31,26,8,1,4,0,3
"Jan 09, 2026",LAC @ BKN,W,28,26,5,5,3,1,2
"Jan 07, 2026",LAC @ NYK,L,36,25,3,4,3,0,3
"Jan 05, 2026",LAC vs. GSW,W,38,24,12,5,1,2,5
"Jan 03, 2026",LAC vs. BOS,L,34,22,3,3,3,1,1
"Jan 01, 2026",LAC vs. UTA,W,39,45,7,3,2,2,3
"Dec 30, 2025",LAC vs. SAC,W,33,33,5,5,3,1,1
"Dec 28, 2025",LAC vs. DET,W,39,55,11,2,5,3,3
"Dec 26, 2025",LAC @ POR,W,41,28,8,6,3,1,4
"Dec 23, 2025",LAC vs. HOU,W,37,41,8,5,0,0,2
"Dec 20, 2025",LAC vs. LAL,W,42,32,12,3,3,2,3
"Dec 18, 2025",LAC @ OKC,L,32,22,8,6,1,0,3
"Dec 15, 2025",LAC vs. MEM,L,37,21,4,3,1,0,2
"Dec 11, 2025",LAC @ HOU,L,41,24,9,4,5,1,1
"Dec 06, 2025",LAC @ MIN,L,31,20,3,2,0,0,0
"Dec 05, 2025",LAC @ MEM,L,35,24,8,4,1,1,1
"Dec 03, 2025",LAC @ ATL,W,35,21,6,5,2,0,3
"Dec 01, 2025",LAC @ MIA,L,30,36,7,2,3,0,1
"Nov 29, 2025",LAC vs. DAL,L,29,30,8,3,0,0,2
"Nov 28, 2025",LAC vs. MEM,L,29,39,3,0,1,0,1
"Nov 25, 2025",LAC @ LAL,L,28,19,5,3,1,0,3
"Nov 23, 2025",LAC @ CLE,L,26,20,3,2,3,0,4
"Nov 03, 2025",LAC vs. MIA,L,37,27,4,4,4,2,2
"Oct 31, 2025",LAC vs. NOP,W,36,34,5,5,6,0,2
"Oct 28, 2025",LAC @ GSW,L,31,18,6,1,1,0,1
"Oct 26, 2025",LAC vs. POR,W,35,30,10,4,2,0,2
"Oct 24, 2025",LAC vs. PHX,W,33,27,5,5,1,1,2
"Oct 22, 2025",LAC @ UTA,L,29,10,4,2,1,1,2
