GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",MIA vs. DET,W,26,12,6,0,2,2,1
"Mar 06, 2026",MIA @ CHA,W,31,10,4,0,1,4,0
"Mar 05, 2026",MIA vs. BKN,W,32,16,11,1,5,7,1
"Mar 03, 2026",MIA vs. BKN,W,29,11,13,1,5,0,3
"Feb 28, 2026",MIA vs. HOU,W,29,13,15,1,0,1,1
"Feb 26, 2026",MIA @ PHI,L,12,5,6,0,0,0,0
"Feb 24, 2026",MIA @ MIL,L,19,14,8,0,0,0,0
"Feb 21, 2026",MIA vs. MEM,W,19,11,15,0,1,0,0
"Feb 20, 2026",MIA @ ATL,W,18,14,12,1,0,0,0
"Feb 11, 2026",MIA @ NOP,W,28,16,12,0,1,2,0
"Feb 09, 2026",MIA vs. UTA,L,14,8,6,0,1,0,2
"Feb 08, 2026",MIA @ WAS,W,30,19,14,1,0,1,0
"Feb 06, 2026",MIA @ BOS,L,10,2,5,0,1,0,1
"Feb 03, 2026",MIA vs. ATL,L,18,9,8,0,0,0,0
"Feb 01, 2026",MIA vs. CHI,W,18,17,6,1,0,0,1
"Jan 31, 2026",MIA vs. CHI,L,3,2,1,1,0,0,0
"Jan 29, 2026",MIA @ CHI,W,12,12,4,2,0,2,0
"Jan 28, 2026",MIA vs. ORL,L,7,4,4,0,0,1,0
"Jan 19, 2026",MIA @ GSW,L,18,15,4,2,0,0,1
"Jan 17, 2026",MIA vs. OKC,W,16,7,9,0,1,1,0
"Jan 15, 2026",MIA vs. BOS,L,9,3,5,0,0,0,1
"Jan 13, 2026",MIA vs. PHX,W,16,10,5,1,1,0,0
"Jan 11, 2026",MIA @ OKC,L,16,8,1,0,1,0,1
"Jan 10, 2026",MIA @ IND,L,17,2,3,0,0,0,1
"Jan 06, 2026",MIA @ MIN,L,28,7,11,2,0,1,1
"Jan 04, 2026",MIA vs. NOP,W,25,16,12,1,0,1,1
"Jan 03, 2026",MIA vs. MIN,L,29,11,8,1,0,1,1
"Jan 01, 2026",MIA @ DET,W,27,4,13,0,2,2,1
"Dec 29, 2025",MIA vs. DEN,W,24,19,9,0,1,0,0
"Dec 27, 2025",MIA vs. IND,W,29,15,7,0,3,1,0
"Dec 26, 2025",MIA @ ATL,W,33,16,13,0,1,1,3
"Dec 23, 2025",MIA vs. TOR,L,21,5,9,0,2,0,0
"Dec 21, 2025",MIA @ NYK,L,35,28,19,0,1,0,1
"Dec 19, 2025",MIA @ BOS,L,28,24,14,2,0,1,0
"Dec 18, 2025",MIA @ BKN,W,30,22,12,1,0,4,0
"Dec 15, 2025",MIA vs. TOR,L,19,6,13,0,0,2,3
"Dec 09, 2025",MIA @ ORL,L,12,4,6,0,0,1,0
"Dec 06, 2025",MIA vs. SAC,L,30,5,6,0,2,2,1
"Dec 05, 2025",MIA @ ORL,L,22,4,8,1,0,1,2
"Dec 03, 2025",MIA @ DAL,L,25,22,10,2,1,1,3
"Dec 01, 2025",MIA vs. LAC,W,16,0,9,0,0,1,0
"Nov 29, 2025",MIA vs. DET,L,22,12,7,0,1,1,2
"Nov 26, 2025",MIA vs. MIL,W,26,11,9,0,2,1,1
"Nov 24, 2025",MIA vs. DAL,W,34,20,18,0,0,3,3
"Nov 23, 2025",MIA @ PHI,W,26,20,16,0,2,0,0
"Nov 21, 2025",MIA @ CHI,W,28,20,14,1,2,1,1
"Nov 19, 2025",MIA vs. GSW,W,19,7,16,0,0,0,1
"Nov 17, 2025",MIA vs. NYK,W,31,16,14,1,1,3,0
"Nov 14, 2025",MIA @ NYK,L,35,15,10,1,1,3,0
"Nov 12, 2025",MIA vs. CLE,L,28,15,13,1,1,1,1
"Nov 10, 2025",MIA vs. CLE,W,34,14,20,1,1,1,0
"Nov 08, 2025",MIA vs. POR,W,23,9,12,1,1,3,2
"Nov 07, 2025",MIA vs. CHA,W,30,7,6,0,1,3,0
"Nov 05, 2025",MIA @ DEN,L,27,13,13,0,4,1,1
"Nov 03, 2025",MIA @ LAC,W,18,16,5,0,0,2,1
"Nov 02, 2025",MIA @ LAL,L,12,7,4,0,0,1,1
"Oct 30, 2025",MIA @ SAS,L,21,0,7,3,1,1,1
"Oct 28, 2025",MIA vs. CHA,W,27,14,9,1,0,0,2
"Oct 26, 2025",MIA vs. NYK,W,22,5,8,0,1,0,1
"Oct 24, 2025",MIA @ MEM,W,23,19,9,1,1,1,2
"Oct 22, 2025",MIA @ ORL,L,14,7,4,0,1,1,1
