GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",OKC vs. GSW,W,19,13,7,1,0,0,0
"Mar 04, 2026",OKC @ NYK,W,6,3,0,0,0,0,0
"Mar 03, 2026",OKC @ CHI,W,15,1,2,2,0,0,1
"Mar 01, 2026",OKC @ DAL,W,6,0,1,0,0,0,0
"Feb 25, 2026",OKC @ DET,L,26,13,4,0,0,0,1
"Feb 24, 2026",OKC @ TOR,W,11,0,1,1,1,0,0
"Feb 22, 2026",OKC vs. CLE,W,18,8,2,1,0,0,1
"Feb 20, 2026",OKC vs. BKN,W,15,7,2,0,1,1,1
"Feb 12, 2026",OKC vs. MIL,L,23,9,8,1,0,0,2
"Feb 11, 2026",OKC @ PHX,W,23,15,6,2,1,0,1
"Feb 09, 2026",OKC @ LAL,W,4,0,0,0,1,0,0
"Feb 07, 2026",OKC vs. HOU,L,8,3,2,1,0,0,4
"Feb 04, 2026",OKC @ SAS,L,35,25,9,2,1,0,3
"Feb 03, 2026",OKC vs. ORL,W,18,11,7,1,1,0,0
"Feb 01, 2026",OKC @ DEN,W,18,5,2,2,2,0,1
"Jan 29, 2026",OKC @ MIN,L,18,7,3,1,1,0,2
"Jan 27, 2026",OKC vs. NOP,W,21,3,2,4,0,0,2
"Jan 25, 2026",OKC vs. TOR,L,28,15,5,1,0,0,1
"Jan 23, 2026",OKC vs. IND,L,28,12,7,4,1,1,0
"Jan 21, 2026",OKC @ MIL,W,28,18,8,2,0,0,1
"Jan 19, 2026",OKC @ CLE,W,21,5,4,3,0,1,1
"Jan 17, 2026",OKC @ MIA,L,3,0,0,1,0,0,0
"Jan 15, 2026",OKC @ HOU,W,14,7,2,0,0,1,0
"Jan 13, 2026",OKC vs. SAS,W,14,3,2,0,0,0,1
"Jan 11, 2026",OKC vs. MIA,W,7,0,4,0,1,0,1
"Jan 09, 2026",OKC @ MEM,W,29,21,8,0,2,0,0
"Jan 07, 2026",OKC vs. UTA,W,8,2,0,1,1,0,1
"Jan 05, 2026",OKC vs. CHA,L,17,8,3,2,2,0,0
"Jan 04, 2026",OKC @ PHX,L,7,3,2,0,0,0,0
"Jan 02, 2026",OKC @ GSW,W,12,2,3,3,0,0,0
"Dec 31, 2025",OKC vs. POR,W,12,3,2,3,1,0,1
"Dec 29, 2025",OKC vs. ATL,W,5,0,1,0,0,1,1
"Dec 28, 2025",OKC vs. PHI,W,7,3,4,2,0,0,0
"Dec 25, 2025",OKC vs. SAS,L,17,8,5,2,2,0,0
"Dec 23, 2025",OKC @ SAS,L,13,10,0,1,1,0,1
"Dec 22, 2025",OKC vs. MEM,W,25,11,6,3,4,0,0
"Dec 19, 2025",OKC @ MIN,L,5,0,1,0,0,0,0
"Dec 10, 2025",OKC vs. PHX,W,17,5,2,1,0,0,2
"Dec 07, 2025",OKC @ UTA,W,24,11,7,6,0,0,2
"Dec 05, 2025",OKC vs. DAL,W,20,10,1,3,0,0,0
"Dec 02, 2025",OKC @ GSW,W,17,5,2,2,0,0,1
"Nov 30, 2025",OKC @ POR,W,13,8,3,0,0,0,1
"Nov 28, 2025",OKC vs. PHX,W,7,3,1,1,0,0,0
"Nov 26, 2025",OKC vs. MIN,W,13,0,4,1,0,0,0
