GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",CLE vs. BOS,L,24,0,3,0,1,1,0
"Mar 03, 2026",CLE vs. DET,W,27,7,4,2,2,1,0
"Mar 01, 2026",CLE @ BKN,W,31,4,3,2,3,5,0
"Feb 25, 2026",CLE @ MIL,L,29,14,4,3,2,1,2
"Feb 24, 2026",CLE vs. NYK,W,16,4,0,1,0,1,0
"Feb 22, 2026",CLE @ OKC,L,23,9,1,3,2,0,1
"Feb 20, 2026",CLE @ CHA,W,24,4,4,3,2,1,1
"Feb 19, 2026",CLE vs. BKN,W,20,7,3,0,1,3,0
"Feb 11, 2026",CLE vs. WAS,W,27,6,4,3,1,1,1
"Feb 09, 2026",CLE @ DEN,W,20,2,3,1,1,1,2
"Feb 07, 2026",CLE @ SAC,W,17,6,3,3,3,1,0
"Feb 04, 2026",CLE @ LAC,W,19,6,3,0,2,0,1
"Jan 30, 2026",SAC @ BOS,L,20,6,2,2,1,2,1
"Jan 29, 2026",SAC @ PHI,L,20,10,0,0,1,1,0
"Jan 27, 2026",SAC @ NYK,L,22,3,1,1,0,0,0
"Jan 25, 2026",SAC @ DET,L,21,14,0,0,0,0,1
"Jan 14, 2026",SAC vs. NYK,W,5,0,0,0,0,0,0
"Jan 12, 2026",SAC vs. LAL,W,12,3,0,0,0,0,0
"Jan 11, 2026",SAC vs. HOU,W,7,0,1,0,0,0,0
"Jan 09, 2026",SAC @ GSW,L,25,5,2,1,1,1,0
"Jan 06, 2026",SAC vs. DAL,L,23,5,2,0,3,1,0
"Jan 04, 2026",SAC vs. MIL,L,5,0,2,0,0,0,0
"Jan 02, 2026",SAC @ PHX,L,35,14,3,0,1,2,3
"Jan 01, 2026",SAC vs. BOS,L,27,16,1,1,1,0,1
"Dec 30, 2025",SAC @ LAC,L,19,2,2,2,0,1,1
"Dec 28, 2025",SAC @ LAL,L,22,2,0,0,0,1,0
"Dec 27, 2025",SAC vs. DAL,W,32,21,1,0,3,2,1
"Dec 23, 2025",SAC vs. DET,L,4,0,1,0,0,0,0
"Dec 21, 2025",SAC vs. HOU,W,9,0,2,0,0,1,0
"Dec 20, 2025",SAC vs. POR,L,10,0,0,0,0,0,0
"Dec 18, 2025",SAC @ POR,L,32,10,4,3,6,0,3
"Dec 11, 2025",SAC vs. DEN,L,31,8,2,4,4,1,1
"Dec 08, 2025",SAC @ IND,L,15,3,1,0,0,0,0
"Dec 06, 2025",SAC @ MIA,W,9,3,1,0,1,1,0
"Dec 03, 2025",SAC @ HOU,L,20,0,0,0,0,0,0
"Nov 30, 2025",SAC vs. MEM,L,6,0,0,1,0,0,0
"Nov 28, 2025",SAC @ UTA,L,7,2,0,0,0,0,0
"Nov 26, 2025",SAC vs. PHX,L,23,6,2,1,3,3,1
"Nov 24, 2025",SAC vs. MIN,W,5,0,0,0,0,0,1
"Nov 20, 2025",SAC @ MEM,L,16,5,1,1,0,1,0
"Nov 19, 2025",SAC @ OKC,L,11,2,3,0,1,0,1
"Nov 16, 2025",SAC @ SAS,L,15,2,1,0,0,0,0
"Nov 14, 2025",SAC @ MIN,L,22,9,1,0,4,1,1
"Nov 12, 2025",SAC vs. ATL,L,31,20,0,1,2,0,1
"Nov 11, 2025",SAC vs. DEN,L,14,3,0,0,1,2,0
"Nov 09, 2025",SAC vs. MIN,L,12,5,3,2,0,0,0
"Nov 07, 2025",SAC vs. OKC,L,12,3,1,0,0,0,0
"Nov 05, 2025",SAC vs. GSW,W,17,0,2,2,2,0,1
"Nov 03, 2025",SAC @ DEN,L,25,15,3,0,0,0,0
"Nov 01, 2025",SAC @ MIL,W,16,3,1,1,2,0,0
"Oct 29, 2025",SAC @ CHI,L,23,8,1,1,1,0,0
"Oct 28, 2025",SAC @ OKC,L,27,12,2,0,2,1,0
"Oct 26, 2025",SAC vs. LAL,L,18,6,2,1,2,0,1
"Oct 24, 2025",SAC vs. UTA,W,17,4,3,1,3,0,2
"Oct 22, 2025",SAC @ PHX,L,13,9,1,0,1,0,0
