GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Dec 19, 2025",CLE vs. CHI,L,6,4,3,0,1,0,1
"Dec 06, 2025",CLE vs. GSW,L,5,2,2,0,0,0,0
"Dec 05, 2025",CLE vs. SAS,W,11,2,1,2,0,0,1
"Dec 01, 2025",CLE @ IND,W,9,2,3,1,0,0,0
"Nov 24, 2025",CLE @ TOR,L,11,5,2,1,1,0,0
"Nov 23, 2025",CLE vs. LAC,W,15,3,2,1,2,0,0
"Nov 13, 2025",CLE vs. TOR,L,2,0,0,0,1,0,0
"Nov 12, 2025",CLE @ MIA,W,12,4,4,0,1,2,0
"Nov 07, 2025",CLE @ WAS,W,9,4,2,2,1,1,0
"Oct 31, 2025",CLE vs. TOR,L,15,2,5,2,0,1,1
"Oct 29, 2025",CLE @ BOS,L,3,0,0,0,0,0,0
"Oct 27, 2025",CLE @ DET,W,7,0,0,0,0,0,0
