GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",LAL vs. NYK,W,29,5,3,4,2,0,1
"Mar 06, 2026",LAL vs. IND,W,29,11,3,3,0,0,2
"Mar 05, 2026",LAL @ DEN,L,32,9,1,2,1,0,4
"Mar 03, 2026",LAL vs. NOP,W,30,10,3,7,4,3,0
"Mar 01, 2026",LAL vs. SAC,W,25,9,3,3,5,0,1
"Feb 28, 2026",LAL @ GSW,W,29,8,5,1,2,0,0
"Feb 26, 2026",LAL @ PHX,L,31,13,1,3,1,0,2
"Feb 24, 2026",LAL vs. ORL,L,23,3,1,1,1,1,0
"Feb 22, 2026",LAL vs. BOS,L,22,0,1,4,0,0,0
"Feb 20, 2026",LAL vs. LAC,W,29,7,2,0,1,1,1
"Feb 12, 2026",LAL vs. DAL,W,26,9,2,6,1,1,0
"Feb 09, 2026",LAL vs. OKC,L,29,19,3,3,2,0,1
"Feb 07, 2026",LAL vs. GSW,W,33,15,3,4,0,2,1
"Feb 05, 2026",LAL vs. PHI,W,31,7,4,5,0,0,0
"Feb 03, 2026",LAL @ BKN,W,18,6,3,1,1,0,1
"Feb 01, 2026",LAL @ NYK,L,30,7,0,3,1,0,2
"Jan 30, 2026",LAL @ WAS,W,27,3,1,4,1,0,4
"Jan 28, 2026",LAL @ CLE,L,24,2,3,0,1,0,1
"Jan 26, 2026",LAL @ CHI,W,32,12,2,1,1,0,0
"Jan 24, 2026",LAL @ DAL,W,32,13,7,3,0,2,3
"Jan 22, 2026",LAL @ LAC,L,30,10,0,4,2,0,1
"Jan 20, 2026",LAL @ DEN,W,31,15,2,1,0,0,0
"Jan 18, 2026",LAL vs. TOR,W,25,8,5,3,1,0,5
"Jan 17, 2026",LAL @ POR,L,25,25,2,0,1,0,2
"Jan 15, 2026",LAL vs. CHA,L,32,10,4,3,2,0,0
"Jan 13, 2026",LAL vs. ATL,W,29,16,5,4,0,1,0
"Jan 12, 2026",LAL @ SAC,L,31,1,2,2,2,0,0
"Jan 09, 2026",LAL vs. MIL,L,30,9,4,1,2,0,2
"Jan 07, 2026",LAL @ SAS,L,34,2,7,1,3,0,4
"Jan 06, 2026",LAL @ NOP,W,37,13,6,4,1,1,4
"Jan 04, 2026",LAL vs. MEM,W,31,6,1,4,0,1,1
"Jan 02, 2026",LAL vs. MEM,W,34,13,8,7,1,1,4
"Dec 30, 2025",LAL vs. DET,L,25,6,2,5,3,0,1
"Dec 28, 2025",LAL vs. SAC,W,20,0,3,2,1,0,1
"Dec 25, 2025",LAL vs. HOU,L,29,6,2,1,1,0,1
"Dec 23, 2025",LAL @ PHX,L,30,14,3,6,0,0,1
"Dec 20, 2025",LAL @ LAC,L,31,5,4,1,0,0,1
"Dec 18, 2025",LAL @ UTA,W,28,17,4,1,1,0,1
"Dec 14, 2025",LAL @ PHX,W,32,8,4,6,1,2,2
"Dec 10, 2025",LAL vs. SAS,L,28,26,3,1,0,1,1
"Nov 25, 2025",LAL vs. LAC,W,20,7,3,3,1,1,1
"Nov 23, 2025",LAL @ UTA,W,17,6,0,0,0,1,0
"Nov 18, 2025",LAL vs. UTA,W,17,5,3,1,0,0,0
"Nov 14, 2025",LAL @ NOP,W,34,13,5,5,2,0,2
"Nov 12, 2025",LAL @ OKC,L,28,9,1,0,1,0,2
"Nov 10, 2025",LAL @ CHA,W,37,13,4,5,7,0,3
"Nov 08, 2025",LAL @ ATL,L,21,5,0,2,2,0,2
"Nov 05, 2025",LAL vs. SAS,W,34,17,5,5,1,1,3
"Nov 03, 2025",LAL @ POR,W,32,9,2,5,4,0,5
"Nov 02, 2025",LAL vs. MIA,W,27,11,3,4,2,1,0
"Oct 31, 2025",LAL @ MEM,W,35,12,3,4,2,0,3
"Oct 26, 2025",LAL @ SAC,W,31,11,3,5,0,0,1
"Oct 24, 2025",LAL vs. MIN,W,21,3,0,1,2,0,2
"Oct 21, 2025",LAL vs. GSW,L,23,9,0,0,1,0,3
