GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 03, 2026",CHI vs. OKC,L,20,11,5,3,0,0,1
"Mar 01, 2026",CHI vs. MIL,W,32,20,7,3,0,3,3
"Feb 26, 2026",CHI vs. POR,L,36,20,7,4,2,1,4
"Feb 24, 2026",CHI vs. CHA,L,33,32,7,2,1,0,2
"Feb 22, 2026",CHI vs. NYK,L,26,15,4,0,0,0,3
"Feb 21, 2026",CHI vs. DET,L,30,15,6,3,2,6,4
"Feb 19, 2026",CHI vs. TOR,L,31,4,6,1,0,0,4
"Feb 11, 2026",CHI @ BOS,L,29,15,8,4,1,2,2
"Feb 09, 2026",CHI @ BKN,L,26,18,4,1,0,4,3
"Feb 07, 2026",CHI vs. DEN,L,30,21,8,3,1,0,3
"Feb 05, 2026",CHI @ TOR,L,33,18,6,3,1,1,3
"Feb 03, 2026",CHI @ MIL,L,36,22,2,1,0,5,1
"Feb 01, 2026",CHI @ MIA,L,21,2,3,2,0,3,3
"Jan 31, 2026",CHI @ MIA,W,33,21,8,4,0,1,8
"Jan 29, 2026",CHI vs. MIA,L,34,16,9,4,1,1,1
"Jan 28, 2026",CHI @ IND,L,32,20,8,0,0,1,1
"Jan 26, 2026",CHI vs. LAL,L,22,11,5,4,0,0,3
"Jan 24, 2026",CHI vs. BOS,W,32,14,8,5,0,1,2
"Jan 22, 2026",CHI @ MIN,W,28,12,6,3,1,0,0
"Jan 20, 2026",CHI vs. LAC,W,30,21,2,4,1,2,2
"Jan 18, 2026",CHI vs. BKN,W,27,17,5,5,0,2,2
"Jan 16, 2026",CHI @ BKN,L,32,15,6,3,1,4,0
"Jan 14, 2026",CHI vs. UTA,W,19,7,2,2,0,0,0
"Jan 13, 2026",CHI @ HOU,L,37,19,6,2,0,0,2
"Jan 10, 2026",CHI vs. DAL,W,25,15,6,2,0,2,1
"Jan 07, 2026",CHI @ DET,L,33,20,3,1,1,4,2
"Jan 05, 2026",CHI @ BOS,L,31,26,3,2,0,1,2
"Jan 03, 2026",CHI vs. CHA,L,34,17,8,3,0,0,3
"Jan 02, 2026",CHI vs. ORL,W,30,21,9,7,1,2,2
"Dec 31, 2025",CHI vs. NOP,W,27,19,6,2,1,0,0
"Dec 29, 2025",CHI vs. MIN,L,24,13,5,2,0,1,2
"Dec 27, 2025",CHI vs. MIL,L,22,8,3,2,1,0,3
"Dec 26, 2025",CHI vs. PHI,W,20,10,8,0,0,3,3
"Dec 23, 2025",CHI @ ATL,W,18,15,2,0,0,2,0
"Dec 21, 2025",CHI @ ATL,W,29,28,3,0,1,2,0
"Dec 19, 2025",CHI @ CLE,W,33,24,5,1,2,2,0
"Dec 17, 2025",CHI vs. CLE,W,22,9,1,1,0,1,1
"Dec 14, 2025",CHI vs. NOP,L,24,9,6,3,1,0,0
"Dec 12, 2025",CHI @ CHA,W,24,10,0,1,0,2,0
"Dec 07, 2025",CHI vs. GSW,L,25,16,3,1,3,1,2
"Dec 05, 2025",CHI vs. IND,L,35,19,12,2,1,1,6
"Dec 03, 2025",CHI vs. BKN,L,33,14,5,3,1,0,3
"Dec 01, 2025",CHI @ ORL,L,36,21,6,4,2,3,0
"Nov 29, 2025",CHI @ IND,L,34,8,11,2,1,3,3
"Nov 28, 2025",CHI @ CHA,L,30,8,2,3,1,0,2
"Nov 24, 2025",CHI @ NOP,L,21,10,4,0,0,2,2
"Nov 22, 2025",CHI vs. WAS,W,29,13,6,1,1,3,1
"Nov 21, 2025",CHI vs. MIA,L,19,6,5,1,1,2,2
"Nov 19, 2025",CHI @ POR,W,19,11,5,4,0,2,2
"Nov 17, 2025",CHI @ DEN,W,29,13,4,2,0,2,1
"Nov 16, 2025",CHI @ UTA,L,33,18,6,1,1,2,0
"Nov 12, 2025",CHI @ DET,L,34,21,14,2,0,2,4
"Nov 10, 2025",CHI vs. SAS,L,25,15,5,0,1,1,1
"Nov 08, 2025",CHI @ CLE,L,18,4,4,0,0,0,3
"Nov 07, 2025",CHI @ MIL,L,36,20,8,3,2,1,3
"Nov 04, 2025",CHI vs. PHI,W,30,10,5,1,1,2,2
"Nov 02, 2025",CHI @ NYK,L,31,14,8,0,1,0,1
"Oct 31, 2025",CHI vs. NYK,W,29,13,0,1,1,1,1
"Oct 29, 2025",CHI vs. SAC,W,34,27,5,2,2,1,3
"Oct 27, 2025",CHI vs. ATL,W,32,16,5,3,0,0,1
"Oct 25, 2025",CHI @ ORL,W,12,3,3,0,1,0,2
"Oct 22, 2025",CHI vs. DET,W,34,21,6,1,0,3,3
