GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",LAL vs. NYK,W,10,0,0,0,1,0,0
"Mar 01, 2026",LAL vs. SAC,W,14,6,6,0,0,1,0
"Feb 28, 2026",LAL @ GSW,W,13,4,2,1,1,3,0
"Feb 26, 2026",LAL @ PHX,L,0,0,0,0,0,0,0
"Feb 24, 2026",LAL vs. ORL,L,11,0,3,0,0,0,1
"Feb 22, 2026",LAL vs. BOS,L,3,0,0,1,0,0,0
"Feb 12, 2026",LAL vs. DAL,W,13,5,1,0,0,0,1
"Feb 10, 2026",LAL vs. SAS,L,13,6,3,0,1,0,2
"Feb 09, 2026",LAL vs. OKC,L,5,0,0,0,0,0,0
"Feb 07, 2026",LAL vs. GSW,W,28,5,7,1,0,1,1
"Feb 05, 2026",LAL vs. PHI,W,26,4,4,4,3,0,1
"Feb 03, 2026",LAL @ BKN,W,3,0,0,0,0,0,0
"Feb 01, 2026",LAL @ NYK,L,1,1,1,0,0,0,0
"Jan 30, 2026",LAL @ WAS,W,5,4,3,1,0,0,0
"Jan 28, 2026",LAL @ CLE,L,8,0,0,0,1,0,0
"Jan 17, 2026",LAL @ POR,L,21,11,5,1,1,0,0
"Jan 12, 2026",LAL @ SAC,L,2,0,0,1,0,0,0
"Jan 09, 2026",LAL vs. MIL,L,3,0,2,1,0,0,0
"Jan 07, 2026",LAL @ SAS,L,12,1,3,0,1,0,0
"Dec 30, 2025",LAL vs. DET,L,8,0,1,0,0,0,1
"Dec 28, 2025",LAL vs. SAC,W,13,2,3,2,1,0,2
"Dec 25, 2025",LAL vs. HOU,L,6,2,0,1,1,0,1
"Dec 23, 2025",LAL @ PHX,L,9,2,2,1,0,0,1
"Dec 20, 2025",LAL @ LAC,L,16,0,1,0,0,1,0
"Dec 18, 2025",LAL @ UTA,W,19,5,2,1,0,1,0
"Dec 05, 2025",LAL @ BOS,L,16,0,1,0,0,0,0
"Dec 01, 2025",LAL vs. PHX,L,10,5,3,2,0,0,0
"Nov 30, 2025",LAL vs. NOP,W,13,2,1,0,0,0,0
"Nov 28, 2025",LAL vs. DAL,W,4,0,0,0,1,0,1
"Nov 25, 2025",LAL vs. LAC,W,14,2,3,0,0,0,0
"Nov 23, 2025",LAL @ UTA,W,14,2,3,0,0,1,1
"Nov 18, 2025",LAL vs. UTA,W,3,0,0,0,0,0,0
"Nov 15, 2025",LAL @ MIL,W,25,3,1,3,0,0,0
"Nov 12, 2025",LAL @ OKC,L,8,3,4,0,1,0,0
"Nov 08, 2025",LAL @ ATL,L,14,1,2,1,0,2,0
