GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 01, 2026",CLE @ BKN,W,5,0,1,0,1,0,0
"Feb 27, 2026",CLE @ DET,L,15,2,2,0,1,1,0
"Feb 25, 2026",CLE @ MIL,L,9,2,2,0,0,0,2
"Feb 24, 2026",CLE vs. NYK,W,3,0,0,0,0,0,0
"Feb 22, 2026",CLE @ OKC,L,10,0,2,0,0,0,0
"Feb 20, 2026",CLE @ CHA,W,13,5,2,1,0,0,0
"Feb 11, 2026",CLE vs. WAS,W,16,8,5,0,2,0,1
"Feb 09, 2026",CLE @ DEN,W,13,6,1,0,0,1,0
"Feb 07, 2026",CLE @ SAC,W,17,6,5,2,0,0,0
"Feb 04, 2026",CLE @ LAC,W,20,4,1,2,2,2,0
"Feb 01, 2026",CLE @ POR,W,21,12,1,0,1,0,0
"Jan 30, 2026",CLE @ PHX,L,25,14,5,1,2,0,1
"Jan 28, 2026",CLE vs. LAL,W,29,8,4,3,2,1,1
"Jan 26, 2026",CLE vs. ORL,W,24,8,3,1,0,0,2
"Jan 24, 2026",CLE @ ORL,W,25,9,1,4,0,0,1
"Jan 23, 2026",CLE vs. SAC,W,15,4,1,0,1,1,0
"Jan 21, 2026",CLE @ CHA,W,21,6,9,2,0,0,0
"Jan 19, 2026",CLE vs. OKC,L,26,6,8,1,2,0,0
"Jan 16, 2026",CLE @ PHI,W,18,9,5,0,0,0,0
"Jan 14, 2026",CLE @ PHI,W,21,0,2,3,1,1,0
"Jan 12, 2026",CLE vs. UTA,L,19,13,3,3,1,2,0
"Jan 10, 2026",CLE vs. MIN,W,16,4,1,2,2,0,1
"Jan 08, 2026",CLE @ MIN,L,8,2,1,1,0,0,0
"Jan 06, 2026",CLE @ IND,W,21,7,3,1,0,1,1
"Jan 04, 2026",CLE vs. DET,L,18,5,4,0,0,2,0
"Jan 02, 2026",CLE vs. DEN,W,19,6,6,0,1,1,1
"Dec 31, 2025",CLE vs. PHX,W,13,0,4,1,0,2,0
"Dec 29, 2025",CLE @ SAS,W,5,6,0,0,0,0,0
"Dec 23, 2025",CLE vs. NOP,W,4,2,0,0,1,1,0
"Dec 22, 2025",CLE vs. CHA,W,13,5,0,0,0,0,0
"Dec 19, 2025",CLE vs. CHI,L,21,15,3,2,1,0,1
"Dec 17, 2025",CLE @ CHI,L,8,2,1,1,0,0,0
"Dec 14, 2025",CLE vs. CHA,L,14,7,3,0,0,0,0
"Dec 12, 2025",CLE @ WAS,W,10,0,3,1,0,0,0
"Dec 06, 2025",CLE vs. GSW,L,16,6,12,1,2,1,3
"Dec 05, 2025",CLE vs. SAS,W,18,13,2,2,0,0,0
"Dec 03, 2025",CLE vs. POR,L,16,7,4,1,2,0,0
"Dec 01, 2025",CLE @ IND,W,27,6,6,1,2,4,1
"Nov 30, 2025",CLE vs. BOS,L,22,7,2,0,1,0,0
"Nov 28, 2025",CLE @ ATL,L,11,5,1,0,0,1,0
"Nov 24, 2025",CLE @ TOR,L,32,14,4,0,1,0,0
"Nov 23, 2025",CLE vs. LAC,W,22,8,2,1,1,2,1
"Nov 21, 2025",CLE vs. IND,W,12,2,0,0,0,0,0
"Nov 19, 2025",CLE vs. HOU,L,20,10,2,0,0,0,0
"Nov 17, 2025",CLE vs. MIL,W,12,2,2,1,0,1,1
"Nov 15, 2025",CLE vs. MEM,W,18,2,4,1,1,2,0
"Nov 13, 2025",CLE vs. TOR,L,22,18,6,0,2,0,0
"Nov 12, 2025",CLE @ MIA,W,18,9,6,2,2,1,1
"Nov 07, 2025",CLE @ WAS,W,6,6,2,0,1,1,0
"Nov 05, 2025",CLE vs. PHI,W,1,0,0,0,0,0,0
