GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",BKN @ DET,W,28,2,6,4,1,3,2
"Mar 05, 2026",BKN @ MIA,L,28,16,8,1,1,0,4
"Mar 03, 2026",BKN @ MIA,L,28,4,5,3,1,2,0
"Feb 27, 2026",BKN @ BOS,L,23,12,4,2,0,0,1
"Feb 26, 2026",BKN vs. SAS,L,24,12,7,3,0,0,1
"Feb 24, 2026",BKN vs. DAL,L,32,16,4,9,3,0,1
"Feb 22, 2026",BKN @ ATL,L,31,15,8,5,1,0,1
"Feb 09, 2026",BKN vs. CHI,W,32,28,10,4,1,0,1
"Feb 07, 2026",BKN vs. WAS,W,28,11,5,4,0,0,1
"Feb 05, 2026",BKN @ ORL,L,29,14,6,3,0,0,1
"Feb 03, 2026",BKN vs. LAL,L,22,10,5,2,0,0,0
"Feb 01, 2026",BKN @ DET,L,17,10,2,1,1,0,1
"Jan 30, 2026",BKN @ UTA,W,30,6,9,3,3,2,2
"Jan 29, 2026",BKN @ DEN,L,31,10,8,7,0,1,2
"Jan 27, 2026",BKN @ PHX,L,29,8,5,8,0,2,2
"Jan 25, 2026",BKN @ LAC,L,24,6,6,1,2,1,1
"Jan 23, 2026",BKN vs. BOS,L,39,18,9,4,0,2,0
"Jan 21, 2026",BKN @ NYK,L,23,4,4,1,1,2,0
"Jan 19, 2026",BKN vs. PHX,L,37,12,8,6,0,1,1
"Jan 18, 2026",BKN @ CHI,L,23,12,5,4,2,1,1
"Jan 16, 2026",BKN vs. CHI,W,29,7,14,5,1,2,3
"Jan 14, 2026",BKN @ NOP,L,29,10,6,0,0,2,2
"Jan 12, 2026",BKN @ DAL,L,25,13,6,5,0,3,2
"Jan 11, 2026",BKN @ MEM,L,27,7,3,5,0,2,0
"Jan 09, 2026",BKN vs. LAC,L,31,13,6,4,1,0,2
"Jan 07, 2026",BKN vs. ORL,L,23,7,6,0,0,2,2
"Jan 01, 2026",BKN vs. HOU,L,24,11,8,2,0,0,0
"Dec 29, 2025",BKN vs. GSW,L,36,15,9,4,3,3,1
"Dec 27, 2025",BKN @ MIN,W,31,14,6,3,1,1,3
"Dec 23, 2025",BKN @ PHI,W,27,16,10,2,1,0,1
"Dec 21, 2025",BKN vs. TOR,W,28,12,7,2,0,0,2
"Dec 18, 2025",BKN vs. MIA,L,35,16,12,8,2,3,2
"Dec 14, 2025",BKN vs. MIL,W,26,10,3,3,0,0,2
"Dec 12, 2025",BKN @ DAL,L,35,14,10,4,1,1,0
"Dec 06, 2025",BKN vs. NOP,W,29,14,11,10,0,3,2
"Dec 04, 2025",BKN vs. UTA,L,29,12,9,4,0,1,1
"Dec 03, 2025",BKN @ CHI,W,35,14,8,9,2,3,1
"Dec 01, 2025",BKN vs. CHA,W,33,13,11,6,1,1,1
"Nov 29, 2025",BKN @ MIL,L,25,7,4,3,0,0,1
"Nov 28, 2025",BKN vs. PHI,L,38,12,6,1,1,1,5
"Nov 24, 2025",BKN vs. NYK,L,26,8,4,1,0,1,0
"Nov 23, 2025",BKN @ TOR,L,31,10,11,3,0,2,1
"Nov 21, 2025",BKN @ BOS,W,35,18,11,12,1,1,3
"Nov 18, 2025",BKN vs. BOS,L,30,7,11,3,0,1,3
"Nov 16, 2025",BKN @ WAS,W,30,17,8,7,0,4,2
"Nov 14, 2025",BKN @ ORL,L,34,13,5,3,0,2,0
"Nov 11, 2025",BKN vs. TOR,L,35,21,8,4,2,2,2
"Nov 09, 2025",BKN @ NYK,L,22,12,5,5,0,2,2
"Nov 07, 2025",BKN vs. DET,L,31,17,8,2,1,1,2
"Nov 05, 2025",BKN @ IND,W,34,18,10,6,3,2,0
"Nov 03, 2025",BKN vs. MIN,L,30,19,8,7,0,1,2
"Nov 02, 2025",BKN vs. PHI,L,34,19,7,5,1,3,2
"Oct 29, 2025",BKN vs. ATL,L,29,18,11,1,0,1,1
"Oct 27, 2025",BKN @ HOU,L,23,6,3,3,0,0,1
"Oct 26, 2025",BKN @ SAS,L,26,10,5,2,1,0,0
"Oct 24, 2025",BKN vs. CLE,L,31,10,9,4,3,0,2
"Oct 22, 2025",BKN @ CHA,L,23,17,4,2,0,0,1
