GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",ATL vs. PHI,W,36,24,2,6,1,0,4
"Mar 04, 2026",ATL @ MIL,W,32,23,1,2,1,0,3
"Mar 01, 2026",ATL vs. POR,W,28,15,3,4,1,0,2
"Feb 24, 2026",ATL vs. WAS,W,25,16,3,5,2,0,2
"Feb 22, 2026",ATL vs. BKN,W,35,17,3,6,2,0,1
"Feb 20, 2026",ATL vs. MIA,L,37,20,3,3,0,0,4
"Feb 19, 2026",ATL @ PHI,W,33,14,3,4,3,0,4
"Feb 11, 2026",ATL @ CHA,L,40,10,3,4,1,2,3
"Feb 09, 2026",ATL @ MIN,L,35,23,12,5,2,0,6
"Feb 07, 2026",ATL vs. CHA,L,38,13,2,10,1,1,1
"Feb 05, 2026",ATL vs. UTA,W,34,23,2,5,2,0,0
"Feb 03, 2026",ATL @ MIA,W,31,19,5,7,1,0,0
"Jan 31, 2026",ATL @ IND,L,35,21,3,5,1,1,0
"Jan 29, 2026",ATL vs. HOU,L,35,20,5,1,0,0,3
"Jan 28, 2026",ATL @ BOS,W,31,21,1,3,3,0,2
"Jan 26, 2026",ATL vs. IND,W,34,21,3,3,3,1,4
"Jan 23, 2026",ATL vs. PHX,W,33,13,0,3,2,1,5
"Jan 21, 2026",ATL @ MEM,W,33,11,2,4,1,2,2
"Jan 19, 2026",ATL vs. MIL,L,39,32,6,6,1,1,0
"Jan 17, 2026",ATL vs. BOS,L,29,18,2,6,1,1,0
"Jan 15, 2026",ATL @ POR,L,29,11,6,7,1,0,3
"Jan 13, 2026",ATL @ LAL,L,33,26,4,3,0,0,0
"Jan 11, 2026",ATL @ GSW,W,34,24,2,2,3,0,1
"Jan 09, 2026",ATL @ DEN,W,33,22,8,3,2,0,1
"Jan 07, 2026",ATL vs. NOP,W,34,17,6,6,3,2,1
"Jan 05, 2026",ATL @ TOR,L,34,14,5,4,0,0,3
"Jan 03, 2026",ATL @ TOR,L,36,31,4,3,2,0,6
"Jan 02, 2026",ATL @ NYK,W,34,23,4,3,2,0,1
"Dec 31, 2025",ATL vs. MIN,W,31,11,0,3,0,0,2
"Dec 29, 2025",ATL @ OKC,L,40,30,4,5,2,1,1
"Dec 27, 2025",ATL vs. NYK,L,30,25,0,1,1,0,0
"Dec 26, 2025",ATL vs. MIA,L,32,15,4,3,1,1,2
"Dec 23, 2025",ATL vs. CHI,L,34,21,1,2,2,0,0
"Dec 21, 2025",ATL vs. CHI,L,29,9,1,2,1,2,3
"Dec 19, 2025",ATL vs. SAS,L,33,23,2,4,0,0,3
"Dec 18, 2025",ATL @ CHA,L,34,28,8,2,0,0,3
"Dec 14, 2025",ATL vs. PHI,W,34,12,7,6,1,0,2
"Dec 12, 2025",ATL @ DET,L,31,22,2,0,0,0,2
"Dec 06, 2025",ATL @ WAS,W,32,17,4,4,3,0,3
"Dec 05, 2025",ATL vs. DEN,L,34,30,5,1,0,0,1
"Dec 03, 2025",ATL vs. LAC,L,31,21,5,3,1,0,1
"Dec 01, 2025",ATL @ DET,L,35,26,3,1,2,0,2
"Nov 30, 2025",ATL @ PHI,W,44,34,8,7,1,1,4
"Nov 28, 2025",ATL vs. CLE,W,35,30,3,1,1,1,1
"Nov 25, 2025",ATL @ WAS,L,32,8,2,4,0,0,3
"Nov 23, 2025",ATL vs. CHA,W,39,23,5,4,1,1,1
"Nov 22, 2025",ATL @ NOP,W,36,10,5,3,1,0,1
"Nov 20, 2025",ATL @ SAS,L,34,38,4,5,0,3,2
"Nov 18, 2025",ATL vs. DET,L,37,24,3,3,0,0,0
"Nov 16, 2025",ATL @ PHX,W,35,26,3,4,2,0,2
"Nov 13, 2025",ATL @ UTA,W,30,16,2,5,2,2,2
"Nov 12, 2025",ATL @ SAC,W,22,14,6,5,0,2,4
"Nov 07, 2025",ATL vs. TOR,L,30,20,2,3,0,0,3
"Nov 04, 2025",ATL vs. ORL,W,32,20,1,2,0,1,7
"Nov 02, 2025",ATL @ CLE,L,34,16,3,5,0,1,5
"Oct 31, 2025",ATL @ IND,W,32,21,3,3,2,0,3
"Oct 29, 2025",ATL @ BKN,W,32,18,3,3,2,3,1
"Oct 27, 2025",ATL @ CHI,L,30,17,3,3,1,0,0
"Oct 25, 2025",ATL vs. OKC,L,30,17,3,2,2,1,2
"Oct 24, 2025",ATL @ ORL,W,31,19,1,4,1,0,1
"Oct 22, 2025",ATL vs. TOR,L,28,10,4,4,1,1,1
