GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2026",BOS vs. DAL,W,2,0,0,0,0,0,0
"Mar 04, 2026",BOS vs. CHA,L,17,7,4,1,0,1,0
"Mar 02, 2026",BOS @ MIL,W,26,10,5,7,0,1,0
"Mar 01, 2026",BOS vs. PHI,W,21,11,12,0,0,1,1
"Feb 27, 2026",BOS vs. BKN,W,25,28,11,4,0,1,1
"Feb 25, 2026",BOS @ DEN,L,23,2,8,1,0,0,0
"Feb 24, 2026",BOS @ PHX,W,19,8,4,2,0,1,1
"Feb 22, 2026",BOS @ LAL,W,21,9,8,0,1,0,0
"Feb 19, 2026",BOS @ GSW,W,28,9,5,0,1,1,0
"Feb 11, 2026",BOS vs. CHI,W,26,19,11,3,1,2,4
"Feb 08, 2026",BOS vs. NYK,L,23,11,6,0,0,1,2
"Feb 06, 2026",BOS vs. MIA,W,28,11,12,4,2,0,2
"Feb 01, 2026",CHI @ MIA,L,22,12,2,1,1,0,1
"Jan 29, 2026",CHI vs. MIA,L,37,15,10,3,0,0,2
"Jan 28, 2026",CHI @ IND,L,30,25,9,4,1,2,3
"Jan 26, 2026",CHI vs. LAL,L,36,18,11,5,1,0,2
"Jan 24, 2026",CHI vs. BOS,W,35,16,7,6,1,2,1
"Jan 22, 2026",CHI @ MIN,W,31,10,8,3,0,0,1
"Jan 20, 2026",CHI vs. LAC,W,32,19,8,4,1,2,0
"Jan 18, 2026",CHI vs. BKN,W,28,17,11,6,0,1,1
"Jan 16, 2026",CHI @ BKN,L,33,19,6,5,0,2,1
"Jan 14, 2026",CHI vs. UTA,W,31,35,7,5,0,2,1
"Jan 13, 2026",CHI @ HOU,L,37,14,7,5,1,2,0
"Jan 10, 2026",CHI vs. DAL,W,29,15,12,3,1,2,2
"Jan 07, 2026",CHI @ DET,L,32,20,16,4,0,1,1
"Jan 05, 2026",CHI @ BOS,L,36,15,15,7,1,0,2
"Jan 03, 2026",CHI vs. CHA,L,34,28,7,8,0,1,2
"Jan 02, 2026",CHI vs. ORL,W,35,17,10,5,0,0,1
"Dec 31, 2025",CHI vs. NOP,W,34,17,8,5,0,0,0
"Dec 29, 2025",CHI vs. MIN,L,30,23,5,2,0,0,3
"Dec 27, 2025",CHI vs. MIL,L,26,16,7,1,1,1,2
"Dec 26, 2025",CHI vs. PHI,W,29,7,7,1,0,1,0
"Dec 23, 2025",CHI @ ATL,W,31,21,10,4,0,1,0
"Dec 21, 2025",CHI @ ATL,W,30,13,5,6,3,0,1
"Dec 19, 2025",CHI @ CLE,W,32,24,15,2,1,2,1
"Dec 17, 2025",CHI vs. CLE,W,29,20,9,4,2,1,1
"Dec 14, 2025",CHI vs. NOP,L,31,12,8,4,0,0,0
"Dec 12, 2025",CHI @ CHA,W,22,13,3,4,0,1,1
"Dec 07, 2025",CHI vs. GSW,L,24,9,6,3,1,0,2
"Dec 05, 2025",CHI vs. IND,L,26,8,4,2,0,0,0
"Dec 03, 2025",CHI vs. BKN,L,33,16,11,0,2,0,6
"Dec 01, 2025",CHI @ ORL,L,34,20,11,5,2,0,2
"Nov 29, 2025",CHI @ IND,L,30,16,8,6,1,0,0
"Nov 28, 2025",CHI @ CHA,L,31,13,14,3,1,0,2
"Nov 22, 2025",CHI vs. WAS,W,27,28,12,2,0,0,1
"Nov 21, 2025",CHI vs. MIA,L,21,6,4,3,0,0,1
"Nov 19, 2025",CHI @ POR,W,34,27,8,2,1,1,3
"Nov 17, 2025",CHI @ DEN,W,29,8,9,6,1,0,1
"Nov 16, 2025",CHI @ UTA,L,41,21,12,2,0,3,0
"Nov 12, 2025",CHI @ DET,L,25,6,6,3,0,0,3
"Nov 10, 2025",CHI vs. SAS,L,29,11,8,6,0,0,1
"Nov 08, 2025",CHI @ CLE,L,29,9,5,4,2,0,2
"Nov 07, 2025",CHI @ MIL,L,31,16,6,1,1,0,2
"Nov 04, 2025",CHI vs. PHI,W,31,19,10,0,1,1,1
"Nov 02, 2025",CHI @ NYK,L,32,17,14,4,0,1,3
"Oct 31, 2025",CHI vs. NYK,W,31,26,7,2,0,0,1
"Oct 29, 2025",CHI vs. SAC,W,33,13,14,7,1,0,0
"Oct 27, 2025",CHI vs. ATL,W,34,17,17,9,2,0,3
"Oct 25, 2025",CHI @ ORL,W,31,15,8,2,0,1,4
"Oct 22, 2025",CHI vs. DET,W,33,28,14,2,1,0,1
