GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",MIL vs. ORL,L,25,2,4,5,1,1,1
"Mar 07, 2026",MIL vs. UTA,W,32,11,8,9,0,0,2
"Mar 04, 2026",MIL vs. ATL,L,28,14,4,0,0,0,3
"Mar 02, 2026",MIL vs. BOS,L,30,13,1,2,0,0,1
"Mar 01, 2026",MIL @ CHI,L,21,7,1,3,3,0,1
"Feb 27, 2026",MIL vs. NYK,L,12,0,3,2,1,0,1
"Feb 25, 2026",MIL vs. CLE,W,13,5,0,2,0,0,1
"Feb 24, 2026",MIL vs. MIA,W,22,11,6,1,2,0,0
"Feb 22, 2026",MIL vs. TOR,L,15,0,5,0,0,0,3
"Feb 20, 2026",MIL @ NOP,W,22,10,2,1,0,1,2
"Feb 12, 2026",MIL @ OKC,W,36,19,11,6,1,4,0
"Feb 11, 2026",MIL @ ORL,W,23,17,3,0,0,0,0
"Feb 09, 2026",MIL @ ORL,L,5,2,1,0,1,0,0
"Feb 03, 2026",OKC vs. ORL,W,6,2,1,1,0,0,1
"Feb 01, 2026",OKC @ DEN,W,3,0,0,0,0,0,0
"Jan 29, 2026",OKC @ MIN,L,4,2,0,1,1,0,1
"Jan 27, 2026",OKC vs. NOP,W,19,4,4,2,0,0,0
"Jan 25, 2026",OKC vs. TOR,L,20,3,2,4,0,0,0
"Jan 23, 2026",OKC vs. IND,L,13,7,2,1,0,2,0
"Jan 21, 2026",OKC @ MIL,W,2,0,1,0,0,0,0
"Jan 19, 2026",OKC @ CLE,W,5,5,0,1,0,0,0
"Jan 15, 2026",OKC @ HOU,W,3,0,2,2,0,0,0
"Jan 09, 2026",OKC @ MEM,W,7,3,0,1,0,0,0
"Dec 10, 2025",OKC vs. PHX,W,12,11,3,0,0,0,0
"Dec 07, 2025",OKC @ UTA,W,26,14,2,3,0,0,0
"Dec 05, 2025",OKC vs. DAL,W,22,7,1,1,0,0,0
"Nov 23, 2025",OKC vs. POR,W,15,8,2,1,0,0,0
"Nov 21, 2025",OKC @ UTA,W,5,5,1,2,0,0,0
"Nov 17, 2025",OKC @ NOP,W,4,0,0,2,0,0,0
"Nov 15, 2025",OKC @ CHA,W,14,2,2,1,0,0,0
"Nov 12, 2025",OKC vs. LAL,W,15,10,2,1,0,0,2
"Nov 11, 2025",OKC vs. GSW,W,20,5,1,0,0,0,2
"Nov 09, 2025",OKC @ MEM,W,7,0,1,0,1,0,0
"Nov 07, 2025",OKC @ SAC,W,17,3,5,1,0,0,0
"Nov 05, 2025",OKC @ POR,L,20,4,6,1,0,2,0
"Nov 04, 2025",OKC @ LAC,W,6,0,0,1,0,0,0
"Nov 02, 2025",OKC vs. NOP,W,6,3,1,1,0,1,1
"Oct 30, 2025",OKC vs. WAS,W,5,2,0,0,0,2,0
"Oct 25, 2025",OKC @ ATL,W,5,0,2,0,0,0,1
"Oct 23, 2025",OKC @ IND,W,15,0,1,0,0,0,0
