GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",DAL @ TOR,L,31,9,7,3,1,0,2
"Mar 06, 2026",DAL @ BOS,L,29,5,5,3,0,1,1
"Mar 05, 2026",DAL @ ORL,L,33,18,5,1,2,1,0
"Mar 03, 2026",DAL @ CHA,L,28,13,2,3,0,0,2
"Feb 24, 2026",DAL @ BKN,W,30,13,4,2,0,1,2
"Feb 22, 2026",DAL @ IND,W,37,23,9,2,1,1,1
"Feb 20, 2026",DAL @ MIN,L,36,12,12,2,2,0,0
"Feb 12, 2026",DAL @ LAL,L,34,18,4,2,0,0,0
"Feb 10, 2026",DAL @ PHX,L,26,13,5,1,0,0,2
"Feb 07, 2026",DAL @ SAS,L,23,10,5,3,1,0,0
"Jan 31, 2026",DAL @ HOU,L,25,9,4,1,1,0,3
"Jan 29, 2026",DAL vs. CHA,L,35,14,9,3,1,2,1
"Jan 28, 2026",DAL vs. MIN,L,34,21,7,2,0,2,3
"Jan 24, 2026",DAL vs. LAL,L,26,2,3,0,1,1,1
"Jan 22, 2026",DAL vs. GSW,W,22,10,6,3,2,3,1
"Jan 14, 2026",DAL vs. DEN,L,31,12,6,2,1,0,2
"Jan 03, 2026",DAL vs. HOU,W,12,0,1,0,1,1,0
"Jan 01, 2026",DAL vs. PHI,L,34,11,5,1,2,1,0
"Dec 29, 2025",DAL @ POR,L,29,8,5,1,0,2,0
"Dec 27, 2025",DAL @ SAC,L,34,17,5,1,0,4,2
"Dec 25, 2025",DAL @ GSW,L,34,14,10,2,2,1,2
"Dec 22, 2025",DAL @ NOP,L,28,8,8,0,1,2,3
"Dec 20, 2025",DAL @ PHI,L,30,15,8,2,0,1,0
"Dec 18, 2025",DAL vs. DET,W,37,13,7,3,1,4,2
"Dec 15, 2025",DAL @ UTA,L,39,25,14,0,0,1,2
"Dec 12, 2025",DAL vs. BKN,W,25,13,4,2,1,2,3
"Dec 06, 2025",DAL vs. HOU,W,36,14,7,1,5,1,2
"Nov 28, 2025",DAL @ LAL,L,35,22,9,1,1,1,2
"Nov 24, 2025",DAL @ MIA,L,34,27,8,1,0,2,2
"Nov 22, 2025",DAL vs. MEM,L,32,15,8,4,1,2,2
"Nov 21, 2025",DAL vs. NOP,W,37,24,9,1,0,3,4
"Nov 19, 2025",DAL vs. NYK,L,33,6,10,4,3,0,1
"Nov 17, 2025",DAL @ MIN,L,25,13,7,2,1,0,2
"Nov 16, 2025",DAL vs. POR,W,38,21,7,2,1,0,5
"Nov 12, 2025",DAL vs. PHX,L,5,6,0,0,1,1,0
"Nov 10, 2025",DAL vs. MIL,L,22,16,7,1,1,1,3
"Nov 08, 2025",DAL @ WAS,W,37,14,9,5,1,1,2
"Nov 07, 2025",DAL @ MEM,L,25,14,6,1,1,1,2
"Nov 05, 2025",DAL vs. NOP,L,38,15,11,1,1,2,4
"Nov 03, 2025",DAL @ HOU,L,36,29,12,3,2,1,2
"Nov 01, 2025",DAL @ DET,L,36,6,5,5,0,3,2
"Oct 29, 2025",DAL vs. IND,W,29,9,11,2,0,2,3
"Oct 27, 2025",DAL vs. OKC,L,38,15,9,3,1,1,1
"Oct 26, 2025",DAL vs. TOR,W,32,17,7,5,1,0,2
"Oct 24, 2025",DAL vs. WAS,L,39,18,9,1,2,1,8
"Oct 22, 2025",DAL vs. SAS,L,29,17,5,1,0,1,2
