GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2026",NYK @ DEN,W,9,11,2,0,0,0,1
"Feb 08, 2026",NYK @ BOS,W,4,0,2,1,0,0,0
"Feb 06, 2026",NYK @ DET,L,7,5,1,0,1,0,0
"Jan 21, 2026",NYK vs. BKN,W,7,0,0,1,0,0,0
"Jan 19, 2026",NYK vs. DAL,L,3,0,0,1,0,0,0
"Jan 15, 2026",NYK @ GSW,L,1,2,0,0,0,0,0
"Jan 14, 2026",NYK @ SAC,L,3,0,0,0,0,0,0
"Jan 07, 2026",NYK vs. LAC,W,1,0,1,0,0,0,0
"Jan 05, 2026",NYK @ DET,L,5,2,2,1,1,0,0
"Jan 02, 2026",NYK vs. ATL,L,2,0,1,1,0,0,0
"Dec 23, 2025",NYK @ MIN,L,11,0,2,1,0,0,0
"Dec 18, 2025",NYK @ IND,W,4,0,0,1,1,0,0
"Dec 03, 2025",NYK vs. CHA,W,0,0,0,0,0,0,0
"Nov 26, 2025",NYK @ CHA,W,2,0,1,0,0,0,0
"Nov 24, 2025",NYK @ BKN,W,3,0,1,0,0,0,0
"Nov 22, 2025",NYK @ ORL,L,3,0,0,0,0,0,0
"Nov 12, 2025",NYK vs. ORL,L,2,2,0,1,0,0,0
"Nov 09, 2025",NYK vs. BKN,W,6,2,1,0,0,0,0
"Nov 05, 2025",NYK vs. MIN,W,2,0,1,1,0,0,0
"Nov 03, 2025",NYK vs. WAS,W,4,0,1,0,0,0,0
"Nov 02, 2025",NYK vs. CHI,W,1,0,0,0,0,0,0
