GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",ORL @ MIN,W,35,25,15,3,0,0,5
"Mar 05, 2026",ORL vs. DAL,W,36,16,12,6,2,0,6
"Mar 03, 2026",ORL vs. WAS,W,32,37,5,6,0,0,2
"Mar 01, 2026",ORL vs. DET,L,38,24,11,2,1,0,9
"Feb 26, 2026",ORL vs. HOU,L,37,19,8,9,1,1,0
"Feb 24, 2026",ORL @ LAL,W,38,36,10,6,0,0,4
"Feb 22, 2026",ORL @ LAC,W,37,16,7,8,0,0,2
"Feb 21, 2026",ORL @ PHX,L,47,26,14,8,0,4,6
"Feb 19, 2026",ORL @ SAC,W,32,30,5,6,1,1,3
"Feb 11, 2026",ORL vs. MIL,L,39,17,4,2,0,0,0
"Feb 09, 2026",ORL vs. MIL,W,33,11,9,3,0,0,2
"Feb 07, 2026",ORL vs. UTA,W,38,23,7,8,3,1,5
"Feb 05, 2026",ORL vs. BKN,W,31,22,5,4,0,2,1
"Feb 03, 2026",ORL @ OKC,L,33,17,3,4,0,0,2
"Feb 01, 2026",ORL @ SAS,L,35,19,10,4,1,0,4
"Jan 30, 2026",ORL vs. TOR,W,41,20,9,6,2,1,3
"Jan 28, 2026",ORL @ MIA,W,38,31,12,4,1,1,1
"Jan 26, 2026",ORL @ CLE,L,40,37,10,4,0,0,2
"Jan 24, 2026",ORL vs. CLE,L,38,27,5,2,0,0,2
"Jan 22, 2026",ORL vs. CHA,L,30,23,7,5,1,0,4
"Jan 18, 2026",ORL @ MEM,L,36,16,8,9,0,0,4
"Jan 15, 2026",ORL vs. MEM,W,37,26,13,4,4,0,2
"Jan 11, 2026",ORL vs. NOP,W,39,23,8,8,1,1,4
"Jan 09, 2026",ORL vs. PHI,L,37,14,11,7,0,1,4
"Jan 07, 2026",ORL @ BKN,W,43,30,14,6,0,0,9
"Jan 06, 2026",ORL @ WAS,L,25,14,4,4,0,0,4
"Jan 04, 2026",ORL vs. IND,W,36,28,12,5,1,0,1
"Jan 02, 2026",ORL @ CHI,L,35,31,6,6,2,1,3
"Dec 31, 2025",ORL @ IND,W,35,29,10,4,1,3,5
"Dec 29, 2025",ORL @ TOR,L,38,23,15,10,0,1,1
"Dec 27, 2025",ORL vs. DEN,W,36,12,6,6,0,0,3
"Dec 26, 2025",ORL vs. CHA,L,31,13,5,2,2,1,1
"Dec 23, 2025",ORL @ POR,W,36,12,6,3,0,0,1
"Dec 22, 2025",ORL @ GSW,L,34,21,12,7,0,0,4
"Dec 20, 2025",ORL @ UTA,W,42,23,9,9,0,2,2
"Dec 18, 2025",ORL @ DEN,L,39,26,16,10,1,0,2
"Dec 13, 2025",ORL vs. NYK,L,35,25,8,3,1,0,5
"Dec 09, 2025",ORL vs. MIA,W,32,18,7,4,0,1,3
"Dec 07, 2025",ORL @ NYK,L,24,16,1,2,0,0,1
"Dec 05, 2025",ORL vs. MIA,W,20,9,6,2,0,0,1
"Nov 12, 2025",ORL @ NYK,W,12,4,4,2,1,1,1
"Nov 10, 2025",ORL vs. POR,W,35,28,9,3,1,0,2
"Nov 09, 2025",ORL vs. BOS,L,35,28,6,4,0,0,6
"Nov 07, 2025",ORL vs. BOS,W,36,15,9,4,1,1,2
"Nov 04, 2025",ORL @ ATL,L,37,22,11,8,1,0,3
"Nov 01, 2025",ORL @ WAS,W,26,28,11,4,0,2,3
"Oct 30, 2025",ORL @ CHA,W,33,20,9,9,2,0,1
"Oct 29, 2025",ORL @ DET,L,35,24,11,7,1,1,4
"Oct 27, 2025",ORL @ PHI,L,38,32,7,5,0,3,2
"Oct 25, 2025",ORL vs. CHI,L,36,24,10,1,1,2,3
"Oct 24, 2025",ORL vs. ATL,L,36,11,6,1,0,0,3
"Oct 22, 2025",ORL vs. MIA,W,35,24,11,1,1,1,2
