GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",GSW @ OKC,L,25,9,1,1,1,0,2
"Mar 05, 2026",GSW @ HOU,W,16,8,2,3,2,0,1
"Mar 02, 2026",GSW vs. LAC,L,21,9,2,5,0,0,1
"Feb 28, 2026",GSW vs. LAL,L,27,4,3,4,0,0,0
"Feb 25, 2026",GSW @ MEM,W,32,12,2,9,1,1,2
"Feb 24, 2026",GSW @ NOP,L,23,5,2,4,1,0,3
"Feb 22, 2026",GSW vs. DEN,W,19,2,0,5,1,0,2
"Feb 19, 2026",GSW vs. BOS,L,27,5,2,7,2,0,0
"Feb 11, 2026",GSW vs. SAS,L,31,9,4,4,0,0,2
"Feb 09, 2026",GSW vs. MEM,W,32,17,3,7,2,0,2
"Feb 07, 2026",GSW @ LAL,L,28,14,5,7,1,0,1
"Feb 05, 2026",GSW @ PHX,W,32,20,6,4,2,0,4
"Feb 03, 2026",GSW vs. PHI,L,26,13,4,3,1,0,5
"Jan 30, 2026",GSW vs. DET,L,8,1,2,3,0,1,0
"Jan 28, 2026",GSW @ UTA,W,4,1,1,0,0,0,0
"Jan 26, 2026",GSW @ MIN,L,34,10,5,6,1,0,4
"Jan 25, 2026",GSW @ MIN,W,3,0,1,0,1,0,0
"Jan 20, 2026",GSW vs. TOR,L,9,9,2,5,0,0,1
"Jan 19, 2026",GSW vs. MIA,W,13,0,0,3,0,0,1
"Jan 17, 2026",GSW vs. CHA,W,4,0,2,0,0,0,0
"Jan 15, 2026",GSW vs. NYK,W,1,0,0,0,0,0,0
"Jan 13, 2026",GSW vs. POR,W,6,0,1,0,1,0,1
"Jan 09, 2026",GSW vs. SAC,W,4,0,1,2,0,0,1
"Jan 02, 2026",GSW vs. OKC,L,31,3,3,11,1,0,3
"Dec 31, 2025",GSW @ CHA,W,6,0,0,0,0,0,0
"Dec 29, 2025",GSW @ BKN,W,10,4,1,4,1,0,0
"Dec 22, 2025",GSW vs. ORL,W,12,2,2,2,0,0,3
"Dec 20, 2025",GSW vs. PHX,W,10,4,1,1,1,0,0
"Dec 14, 2025",GSW @ POR,L,7,2,0,2,0,0,0
"Dec 12, 2025",GSW vs. MIN,L,28,12,5,4,2,0,2
"Dec 07, 2025",GSW @ CHI,W,27,12,5,6,1,0,4
"Dec 06, 2025",GSW @ CLE,W,29,19,4,7,1,0,1
"Dec 04, 2025",GSW @ PHI,L,24,16,4,4,1,0,2
"Dec 02, 2025",GSW vs. OKC,L,21,17,3,6,1,0,0
"Nov 29, 2025",GSW vs. NOP,W,15,4,2,1,0,0,0
"Nov 26, 2025",GSW vs. HOU,L,6,0,0,1,0,0,0
"Nov 24, 2025",GSW vs. UTA,W,13,3,2,1,0,0,1
"Nov 19, 2025",GSW @ MIA,L,32,11,8,13,2,0,2
"Nov 16, 2025",GSW @ NOP,W,5,3,0,2,0,0,1
"Nov 11, 2025",GSW @ OKC,L,12,12,1,1,1,0,0
"Nov 09, 2025",GSW vs. IND,W,16,2,0,2,1,1,0
"Nov 07, 2025",GSW @ DEN,L,23,10,6,5,1,0,2
"Nov 05, 2025",GSW @ SAC,L,17,6,1,1,0,0,2
"Nov 04, 2025",GSW vs. PHX,W,11,7,3,4,2,0,0
"Oct 28, 2025",GSW vs. LAC,W,3,0,0,0,0,0,0
"Oct 27, 2025",GSW vs. MEM,W,1,0,0,0,0,0,0
"Oct 24, 2025",GSW @ POR,L,11,4,2,1,1,0,0
