GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",MIA vs. DET,W,33,10,5,5,0,0,1
"Mar 06, 2026",MIA @ CHA,W,29,11,4,2,0,0,2
"Mar 05, 2026",MIA vs. BKN,W,30,16,1,4,0,0,1
"Mar 03, 2026",MIA vs. BKN,W,18,3,2,3,0,1,0
"Feb 28, 2026",MIA vs. HOU,W,35,20,4,4,0,0,3
"Feb 26, 2026",MIA @ PHI,L,33,9,4,6,2,1,2
"Feb 24, 2026",MIA @ MIL,L,36,10,6,5,0,0,2
"Feb 21, 2026",MIA vs. MEM,W,35,10,1,5,2,1,4
"Feb 20, 2026",MIA @ ATL,W,32,12,6,1,2,0,1
"Feb 06, 2026",MIA @ BOS,L,12,0,5,3,0,0,2
"Feb 03, 2026",MIA vs. ATL,L,36,18,4,5,0,0,3
"Feb 01, 2026",MIA vs. CHI,W,24,20,4,4,1,1,2
"Jan 31, 2026",MIA vs. CHI,L,33,22,7,4,5,0,2
"Jan 29, 2026",MIA @ CHI,W,29,15,6,3,2,0,1
"Jan 28, 2026",MIA vs. ORL,L,28,8,9,2,1,0,1
"Jan 25, 2026",MIA @ PHX,W,35,10,7,2,0,0,3
"Jan 24, 2026",MIA @ UTA,W,25,20,2,3,0,1,2
"Jan 22, 2026",MIA @ POR,L,29,6,3,6,0,0,1
"Jan 20, 2026",MIA @ SAC,W,26,16,6,9,1,0,0
"Jan 19, 2026",MIA @ GSW,L,28,9,5,3,0,0,0
"Jan 17, 2026",MIA vs. OKC,W,30,16,3,2,1,0,1
"Jan 15, 2026",MIA vs. BOS,L,30,7,3,2,0,0,0
"Jan 13, 2026",MIA vs. PHX,W,27,2,3,2,0,0,0
"Jan 11, 2026",MIA @ OKC,L,28,16,3,3,1,1,2
"Jan 10, 2026",MIA @ IND,L,16,4,3,0,0,1,1
"Jan 06, 2026",MIA @ MIN,L,20,7,2,1,0,0,2
"Jan 04, 2026",MIA vs. NOP,W,26,16,3,6,3,0,2
"Dec 29, 2025",MIA vs. DEN,W,15,3,2,0,0,0,0
"Dec 27, 2025",MIA vs. IND,W,27,16,4,7,0,1,0
"Dec 26, 2025",MIA @ ATL,W,30,21,6,5,1,0,0
"Dec 09, 2025",MIA @ ORL,L,11,2,2,1,0,0,1
"Dec 05, 2025",MIA @ ORL,L,19,0,1,1,0,0,0
"Dec 03, 2025",MIA @ DAL,L,23,4,0,3,0,0,0
"Dec 01, 2025",MIA vs. LAC,W,8,5,1,2,0,0,0
"Nov 29, 2025",MIA vs. DET,L,25,7,1,2,1,0,0
"Nov 26, 2025",MIA vs. MIL,W,21,8,3,3,1,1,2
"Nov 24, 2025",MIA vs. DAL,W,28,9,2,6,1,2,1
"Nov 23, 2025",MIA @ PHI,W,32,6,7,8,1,0,2
"Nov 21, 2025",MIA @ CHI,W,26,16,2,7,2,0,0
"Nov 19, 2025",MIA vs. GSW,W,28,10,3,4,1,0,2
"Nov 17, 2025",MIA vs. NYK,W,26,13,7,4,0,0,2
"Nov 14, 2025",MIA @ NYK,L,24,14,2,2,0,1,2
"Nov 12, 2025",MIA vs. CLE,L,27,9,0,4,0,1,3
"Nov 10, 2025",MIA vs. CLE,W,26,10,5,4,0,0,3
"Nov 08, 2025",MIA vs. POR,W,27,16,1,5,0,0,1
"Nov 07, 2025",MIA vs. CHA,W,27,19,4,2,1,0,0
"Nov 05, 2025",MIA @ DEN,L,24,6,3,3,0,0,1
"Nov 03, 2025",MIA @ LAC,W,24,7,1,3,3,0,1
"Nov 02, 2025",MIA @ LAL,L,26,17,5,6,0,0,1
"Oct 30, 2025",MIA @ SAS,L,26,5,3,3,0,0,1
"Oct 28, 2025",MIA vs. CHA,W,31,17,5,3,1,0,0
"Oct 26, 2025",MIA vs. NYK,W,5,1,0,0,0,0,0
"Oct 24, 2025",MIA @ MEM,W,8,8,2,0,1,0,2
"Oct 22, 2025",MIA @ ORL,L,4,0,0,0,0,0,0
