GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 05, 2026",SAC vs. NOP,L,41,29,12,5,1,2,0
"Mar 03, 2026",SAC vs. PHX,L,39,18,9,1,1,1,0
"Mar 01, 2026",SAC @ LAL,L,27,8,9,1,1,2,0
"Feb 26, 2026",SAC @ DAL,W,33,29,12,4,3,1,0
"Feb 25, 2026",SAC @ HOU,L,30,6,10,1,0,0,2
"Feb 23, 2026",SAC @ MEM,W,33,22,12,0,1,1,2
"Feb 21, 2026",SAC @ SAS,L,21,14,3,4,1,0,0
"Feb 19, 2026",SAC vs. ORL,L,34,14,10,1,4,2,3
"Feb 11, 2026",SAC @ UTA,L,16,6,5,1,1,1,1
"Feb 09, 2026",SAC @ NOP,L,20,8,3,0,3,1,1
"Feb 07, 2026",SAC vs. CLE,L,16,2,2,2,2,0,0
"Feb 06, 2026",SAC vs. LAC,L,8,6,4,1,0,1,0
"Feb 01, 2026",SAC @ WAS,L,9,5,4,0,0,0,1
"Jan 30, 2026",SAC @ BOS,L,13,2,3,0,0,0,0
"Jan 29, 2026",SAC @ PHI,L,34,8,13,3,1,1,2
"Jan 27, 2026",SAC @ NYK,L,24,6,5,0,2,0,2
"Jan 25, 2026",SAC @ DET,L,17,4,4,1,0,0,1
"Jan 23, 2026",SAC @ CLE,L,20,4,8,2,0,0,1
"Jan 21, 2026",SAC vs. TOR,L,21,11,8,1,0,0,0
"Jan 20, 2026",SAC vs. MIA,L,22,6,5,1,1,0,2
"Jan 18, 2026",SAC vs. POR,L,18,4,3,2,0,1,1
"Jan 16, 2026",SAC vs. WAS,W,28,16,6,1,0,2,1
"Jan 14, 2026",SAC vs. NYK,W,39,20,14,2,2,2,2
"Jan 12, 2026",SAC vs. LAL,W,30,9,7,0,0,2,1
"Jan 11, 2026",SAC vs. HOU,W,39,10,7,3,3,0,1
"Jan 09, 2026",SAC @ GSW,L,5,1,0,1,0,2,0
"Jan 06, 2026",SAC vs. DAL,L,22,9,9,0,1,1,1
"Jan 04, 2026",SAC vs. MIL,L,15,4,3,0,2,0,0
"Jan 02, 2026",SAC @ PHX,L,19,3,6,3,0,0,2
"Jan 01, 2026",SAC vs. BOS,L,22,14,3,2,2,1,1
"Dec 30, 2025",SAC @ LAC,L,17,0,3,2,0,1,0
"Dec 28, 2025",SAC @ LAL,L,20,5,3,1,1,0,0
"Dec 27, 2025",SAC vs. DAL,W,25,5,9,2,2,0,0
"Dec 23, 2025",SAC vs. DET,L,27,15,12,3,2,1,1
"Dec 21, 2025",SAC vs. HOU,W,18,5,1,2,1,0,1
"Dec 20, 2025",SAC vs. POR,L,10,2,2,0,0,0,0
"Dec 18, 2025",SAC @ POR,L,14,2,5,2,1,0,1
"Dec 14, 2025",SAC @ MIN,L,27,17,6,0,0,1,0
"Dec 11, 2025",SAC vs. DEN,L,10,4,6,0,0,0,0
"Dec 08, 2025",SAC @ IND,L,21,11,5,2,2,2,0
"Dec 06, 2025",SAC @ MIA,W,16,7,10,1,0,0,0
"Dec 03, 2025",SAC @ HOU,L,19,10,4,0,2,0,1
"Nov 30, 2025",SAC vs. MEM,L,24,11,7,0,0,0,0
"Nov 28, 2025",SAC @ UTA,L,19,2,6,1,0,2,0
"Nov 26, 2025",SAC vs. PHX,L,25,14,5,3,1,0,0
"Nov 24, 2025",SAC vs. MIN,W,34,10,8,0,1,1,2
"Nov 22, 2025",SAC @ DEN,W,24,7,4,0,1,0,0
"Nov 20, 2025",SAC @ MEM,L,24,2,5,2,0,0,0
"Nov 19, 2025",SAC @ OKC,L,26,15,9,3,1,0,2
"Nov 16, 2025",SAC @ SAS,L,5,1,1,0,0,0,0
"Nov 14, 2025",SAC @ MIN,L,20,4,3,0,3,1,0
"Nov 12, 2025",SAC vs. ATL,L,20,10,5,2,0,0,0
"Nov 11, 2025",SAC vs. DEN,L,18,6,3,3,1,0,1
"Nov 09, 2025",SAC vs. MIN,L,29,12,10,0,0,1,1
"Nov 07, 2025",SAC vs. OKC,L,17,4,4,0,1,0,0
"Nov 05, 2025",SAC vs. GSW,W,9,4,3,0,0,1,1
