GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",HOU @ SAS,L,35,17,3,3,1,1,4
"Mar 06, 2026",HOU vs. POR,W,36,17,3,6,1,3,4
"Mar 05, 2026",HOU vs. GSW,L,37,30,3,6,0,0,3
"Mar 02, 2026",HOU @ WAS,W,42,19,7,10,6,2,3
"Feb 28, 2026",HOU @ MIA,L,36,14,4,5,1,0,0
"Feb 26, 2026",HOU @ ORL,W,31,20,3,4,2,2,1
"Feb 25, 2026",HOU vs. SAC,W,32,28,4,2,1,1,2
"Feb 23, 2026",HOU vs. UTA,W,24,15,3,4,1,0,3
"Feb 21, 2026",HOU @ NYK,L,21,10,2,3,0,0,1
"Feb 19, 2026",HOU @ CHA,W,24,13,4,3,1,2,2
"Feb 11, 2026",HOU vs. LAC,L,25,17,2,4,1,1,2
"Feb 10, 2026",HOU vs. LAC,W,30,16,6,4,2,1,4
"Feb 07, 2026",HOU @ OKC,W,32,16,3,6,3,0,4
"Feb 05, 2026",HOU vs. CHA,L,22,7,2,0,2,1,2
"Feb 04, 2026",HOU vs. BOS,L,19,9,2,0,1,0,0
"Feb 02, 2026",HOU @ IND,W,25,11,2,5,2,1,2
"Jan 31, 2026",HOU vs. DAL,W,17,6,1,1,2,1,1
"Jan 29, 2026",HOU @ ATL,W,26,13,4,4,1,0,1
"Jan 28, 2026",HOU vs. SAS,L,26,9,5,0,1,2,1
"Jan 26, 2026",HOU vs. MEM,W,15,4,4,0,0,1,2
"Jan 23, 2026",HOU @ DET,W,25,18,0,1,1,0,2
"Jan 22, 2026",HOU @ PHI,L,23,14,1,4,2,0,2
"Jan 20, 2026",HOU vs. SAS,W,29,21,2,4,1,1,0
"Jan 18, 2026",HOU vs. NOP,W,18,11,3,1,1,0,3
"Jan 16, 2026",HOU vs. MIN,W,19,14,0,2,2,0,0
"Jan 15, 2026",HOU vs. OKC,L,19,7,2,3,1,0,0
"Jan 13, 2026",HOU vs. CHI,W,22,8,1,1,0,0,0
"Jan 11, 2026",HOU @ SAC,L,15,6,0,2,0,1,0
"Jan 09, 2026",HOU @ POR,L,34,20,3,4,1,0,1
"Jan 07, 2026",HOU @ POR,L,22,8,2,1,1,0,1
"Jan 05, 2026",HOU vs. PHX,W,23,11,3,2,2,0,4
"Jan 03, 2026",HOU @ DAL,L,22,8,0,5,0,0,1
"Jan 01, 2026",HOU @ BKN,W,31,14,2,1,1,3,1
"Dec 29, 2025",HOU vs. IND,W,24,13,1,3,2,0,2
"Dec 27, 2025",HOU vs. CLE,W,32,18,3,8,5,1,1
"Dec 25, 2025",HOU @ LAL,W,19,13,2,1,1,0,0
"Dec 23, 2025",HOU @ LAC,L,26,8,1,3,0,1,0
"Dec 21, 2025",HOU @ SAC,L,34,15,2,4,0,0,3
"Dec 20, 2025",HOU @ DEN,W,30,28,2,6,3,2,1
"Dec 18, 2025",HOU @ NOP,L,27,11,4,7,1,0,0
"Dec 15, 2025",HOU @ DEN,L,32,14,3,1,2,1,0
"Dec 11, 2025",HOU vs. LAC,W,26,10,4,2,0,1,1
"Dec 06, 2025",HOU @ DAL,L,20,12,2,3,0,0,3
"Dec 05, 2025",HOU vs. PHX,W,21,10,5,6,2,0,2
"Dec 03, 2025",HOU vs. SAC,W,28,5,6,1,1,2,1
"Dec 01, 2025",HOU @ UTA,L,23,9,2,2,1,0,0
"Nov 30, 2025",HOU @ UTA,W,31,9,6,4,4,2,2
"Nov 26, 2025",HOU @ GSW,W,37,31,9,5,1,2,2
"Nov 24, 2025",HOU @ PHX,W,27,7,1,5,3,0,2
"Nov 21, 2025",HOU vs. DEN,L,37,27,0,4,2,0,1
"Nov 19, 2025",HOU @ CLE,W,23,12,2,2,1,1,0
"Nov 16, 2025",HOU vs. ORL,W,29,16,7,2,1,0,0
"Nov 14, 2025",HOU vs. POR,W,26,13,3,3,4,0,0
"Nov 12, 2025",HOU vs. WAS,W,25,21,3,3,2,1,3
"Nov 09, 2025",HOU @ MIL,W,29,16,0,2,4,1,2
"Nov 07, 2025",HOU @ SAS,L,26,16,0,6,1,0,1
"Nov 05, 2025",HOU @ MEM,W,17,12,1,1,2,0,0
"Nov 03, 2025",HOU vs. DAL,W,17,5,5,3,0,0,2
"Nov 01, 2025",HOU @ BOS,W,17,12,0,3,0,0,0
"Oct 29, 2025",HOU @ TOR,W,18,7,5,1,0,1,0
"Oct 27, 2025",HOU vs. BKN,W,24,15,4,8,1,0,2
"Oct 24, 2025",HOU vs. DET,L,20,9,2,1,3,0,3
"Oct 21, 2025",HOU @ OKC,L,28,9,2,4,1,1,2
