GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 05, 2026",CHI @ PHX,W,21,11,2,1,0,0,2
"Mar 03, 2026",CHI vs. OKC,L,24,6,5,5,0,0,3
"Mar 01, 2026",CHI vs. MIL,W,5,0,0,1,1,0,0
"Feb 26, 2026",CHI vs. POR,L,23,5,2,5,3,0,1
"Feb 24, 2026",CHI vs. CHA,L,23,6,5,5,0,0,3
"Feb 22, 2026",CHI vs. NYK,L,24,8,4,4,2,0,1
"Feb 21, 2026",CHI vs. DET,L,8,2,1,1,1,0,1
"Feb 19, 2026",CHI vs. TOR,L,10,4,1,2,0,0,3
"Feb 11, 2026",CHI @ BOS,L,30,16,1,7,3,0,3
"Feb 09, 2026",CHI @ BKN,L,22,8,7,1,2,0,1
"Feb 07, 2026",CHI vs. DEN,L,22,9,3,4,1,0,3
"Jan 29, 2026",MIN vs. OKC,W,3,2,0,0,1,0,3
"Jan 26, 2026",MIN vs. GSW,W,5,0,1,1,1,0,1
"Jan 25, 2026",MIN vs. GSW,L,5,3,1,0,0,0,0
"Jan 13, 2026",MIN @ MIL,W,8,5,2,0,0,0,1
"Jan 10, 2026",MIN @ CLE,L,3,1,1,1,0,0,1
"Jan 06, 2026",MIN vs. MIA,W,5,0,1,3,1,0,1
"Jan 04, 2026",MIN @ WAS,W,7,0,0,0,0,0,2
"Dec 31, 2025",MIN @ ATL,L,8,5,2,3,0,0,0
"Dec 29, 2025",MIN @ CHI,W,6,5,0,0,0,0,0
"Dec 27, 2025",MIN vs. BKN,L,11,7,1,1,0,0,1
"Dec 19, 2025",MIN vs. OKC,W,12,0,6,3,0,1,1
"Dec 17, 2025",MIN vs. MEM,L,11,5,1,2,0,0,3
"Dec 14, 2025",MIN vs. SAC,W,12,5,1,3,1,0,0
"Dec 12, 2025",MIN @ GSW,W,17,6,1,0,0,0,2
"Dec 06, 2025",MIN vs. LAC,W,9,0,0,2,0,1,0
"Dec 04, 2025",MIN @ NOP,W,8,2,0,3,0,1,0
"Dec 02, 2025",MIN @ NOP,W,7,0,2,2,0,0,0
"Nov 30, 2025",MIN vs. SAS,W,8,0,2,0,0,0,1
"Nov 29, 2025",MIN vs. BOS,W,6,3,0,2,0,0,1
"Nov 26, 2025",MIN @ OKC,L,12,6,1,2,0,0,0
"Nov 24, 2025",MIN @ SAC,L,9,0,0,3,3,0,0
"Nov 21, 2025",MIN @ PHX,L,9,5,1,0,1,0,2
"Nov 19, 2025",MIN vs. WAS,W,9,2,4,2,2,0,0
"Nov 17, 2025",MIN vs. DAL,W,13,8,1,1,2,0,2
"Nov 15, 2025",MIN vs. DEN,L,7,3,2,0,1,0,0
"Nov 14, 2025",MIN vs. SAC,W,9,0,3,3,1,0,2
"Nov 10, 2025",MIN @ UTA,W,4,0,1,1,0,0,0
"Nov 09, 2025",MIN @ SAC,W,16,11,0,3,0,0,2
"Nov 07, 2025",MIN vs. UTA,W,11,8,2,1,0,0,0
"Nov 05, 2025",MIN @ NYK,L,12,6,0,4,1,0,1
"Nov 03, 2025",MIN @ BKN,W,20,7,3,1,0,0,3
"Nov 01, 2025",MIN @ CHA,W,16,4,0,4,2,0,2
"Oct 29, 2025",MIN vs. LAL,L,16,8,1,5,1,0,1
"Oct 27, 2025",MIN vs. DEN,L,12,4,0,2,1,0,3
"Oct 24, 2025",MIN @ LAL,L,1,0,0,0,0,0,0
