GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 04, 2026",MEM @ SAC,W,24,12,6,0,1,2,1
"Jan 26, 2026",MEM @ HOU,L,27,17,7,2,0,0,1
"Jan 18, 2026",MEM vs. ORL,W,25,9,5,3,0,0,0
"Jan 15, 2026",MEM @ ORL,L,30,18,5,1,1,0,1
"Jan 11, 2026",MEM vs. BKN,W,33,15,8,3,1,3,1
"Jan 09, 2026",MEM vs. OKC,L,29,15,7,7,0,0,1
"Jan 07, 2026",MEM vs. PHX,L,22,7,3,0,0,0,0
"Jan 06, 2026",MEM vs. SAS,W,24,10,9,2,0,2,4
"Jan 04, 2026",MEM @ LAL,L,31,12,10,7,1,0,1
"Jan 02, 2026",MEM @ LAL,L,30,15,7,3,1,0,0
"Dec 30, 2025",MEM vs. PHI,L,36,15,6,2,0,4,4
"Dec 28, 2025",MEM @ WAS,L,35,14,10,3,5,0,3
"Dec 26, 2025",MEM vs. MIL,W,30,12,7,3,0,1,1
"Dec 23, 2025",MEM @ UTA,W,34,37,5,7,1,0,3
"Dec 22, 2025",MEM @ OKC,L,25,9,7,1,0,0,2
"Dec 20, 2025",MEM vs. WAS,L,36,37,10,2,1,1,2
"Dec 17, 2025",MEM @ MIN,W,34,8,11,3,0,0,3
"Dec 15, 2025",MEM @ LAC,W,31,3,2,2,1,0,1
"Dec 12, 2025",MEM vs. UTA,L,36,22,7,2,1,1,0
"Dec 07, 2025",MEM vs. POR,W,28,22,7,1,2,0,0
"Dec 05, 2025",MEM vs. LAC,W,25,7,6,4,1,0,3
"Dec 02, 2025",MEM @ SAS,L,24,4,3,5,0,1,0
"Nov 30, 2025",MEM @ SAC,W,22,7,6,4,1,1,2
"Nov 28, 2025",MEM @ LAC,W,22,13,7,5,0,0,0
"Nov 26, 2025",MEM @ NOP,W,24,14,5,4,0,1,0
"Nov 24, 2025",MEM vs. DEN,L,33,12,6,6,2,2,1
"Nov 22, 2025",MEM @ DAL,W,35,20,8,4,1,1,0
"Nov 20, 2025",MEM vs. SAC,W,28,29,5,3,0,2,1
"Nov 18, 2025",MEM @ SAS,L,26,10,6,2,1,1,1
"Nov 15, 2025",MEM @ CLE,L,25,12,11,2,1,0,0
"Nov 12, 2025",MEM @ BOS,L,24,14,6,4,2,1,1
"Nov 11, 2025",MEM @ NYK,L,30,19,7,3,0,0,0
"Nov 09, 2025",MEM vs. OKC,L,30,12,9,4,1,2,4
"Nov 07, 2025",MEM vs. DAL,W,28,16,2,2,0,0,2
"Nov 05, 2025",MEM vs. HOU,L,26,16,4,1,2,1,0
"Nov 03, 2025",MEM vs. DET,L,23,11,5,1,0,0,3
"Nov 02, 2025",MEM @ TOR,L,28,15,4,2,0,0,0
"Oct 31, 2025",MEM vs. LAL,L,26,7,10,4,1,0,2
"Oct 29, 2025",MEM @ PHX,W,31,14,10,5,3,0,1
"Oct 27, 2025",MEM @ GSW,L,22,14,6,4,3,0,2
"Oct 25, 2025",MEM vs. IND,W,21,9,8,1,0,2,0
"Oct 24, 2025",MEM vs. MIA,L,20,13,8,0,1,0,1
"Oct 22, 2025",MEM vs. NOP,W,24,5,6,2,1,2,2
