GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2026",SAS vs. LAC,W,34,6,8,8,0,0,4
"Mar 05, 2026",SAS vs. DET,W,35,11,1,12,2,1,2
"Mar 03, 2026",SAS @ PHI,W,21,15,4,10,1,0,1
"Mar 01, 2026",SAS @ NYK,L,30,13,4,4,1,0,0
"Feb 26, 2026",SAS @ BKN,W,25,18,2,5,2,0,1
"Feb 25, 2026",SAS @ TOR,W,28,13,3,5,1,0,3
"Feb 23, 2026",SAS @ DET,W,30,16,4,11,1,1,4
"Feb 21, 2026",SAS vs. SAC,W,25,18,8,3,0,1,2
"Feb 19, 2026",SAS vs. PHX,W,21,20,2,4,3,0,2
"Feb 11, 2026",SAS @ GSW,W,21,10,5,4,0,0,3
"Feb 10, 2026",SAS @ LAL,W,12,2,1,7,0,1,1
"Feb 07, 2026",SAS vs. DAL,W,32,40,12,12,3,1,6
"Feb 05, 2026",SAS @ DAL,W,22,18,7,6,3,0,3
"Feb 04, 2026",SAS vs. OKC,W,26,14,3,4,3,2,3
"Jan 31, 2026",SAS @ CHA,L,35,16,5,9,0,1,3
"Jan 28, 2026",SAS @ HOU,W,33,16,5,6,2,0,2
"Jan 25, 2026",SAS vs. NOP,L,29,5,4,5,1,0,2
"Jan 22, 2026",SAS @ UTA,W,38,16,6,8,2,0,1
"Jan 20, 2026",SAS @ HOU,L,35,13,7,8,1,1,3
"Jan 19, 2026",SAS vs. UTA,W,31,18,2,8,0,1,4
"Jan 17, 2026",SAS vs. MIN,W,28,8,6,9,3,0,2
"Jan 15, 2026",SAS vs. MIL,W,26,19,1,10,0,0,0
"Jan 13, 2026",SAS @ OKC,L,36,20,7,8,1,0,5
"Jan 11, 2026",SAS @ MIN,L,35,11,6,5,0,0,7
"Jan 10, 2026",SAS @ BOS,W,27,9,2,5,2,0,2
"Jan 07, 2026",SAS vs. LAL,W,29,15,5,4,2,1,2
"Jan 06, 2026",SAS @ MEM,L,28,15,8,4,2,0,5
"Jan 03, 2026",SAS vs. POR,L,37,16,5,9,1,0,2
"Jan 02, 2026",SAS @ IND,W,33,19,8,8,2,0,3
"Dec 31, 2025",SAS vs. NYK,W,27,5,2,7,0,0,3
"Dec 29, 2025",SAS vs. CLE,L,34,15,4,8,1,0,5
"Dec 27, 2025",SAS vs. UTA,L,33,20,2,7,2,0,4
"Dec 25, 2025",SAS @ OKC,W,32,19,4,7,1,0,4
"Dec 23, 2025",SAS vs. OKC,W,28,24,0,3,1,0,2
"Dec 21, 2025",SAS @ WAS,W,32,18,5,11,3,0,2
"Dec 19, 2025",SAS @ ATL,W,24,17,2,7,0,1,3
"Dec 18, 2025",SAS vs. WAS,W,25,17,2,7,0,1,3
"Dec 13, 2025",SAS @ OKC,W,34,22,6,2,0,0,6
"Dec 10, 2025",SAS @ LAL,W,27,30,10,6,0,0,4
"Dec 08, 2025",SAS @ NOP,W,23,18,5,5,0,0,3
"Nov 16, 2025",SAS vs. SAC,W,16,4,0,5,1,0,3
"Nov 14, 2025",SAS vs. GSW,L,36,13,9,6,1,1,4
"Nov 12, 2025",SAS vs. GSW,L,31,23,10,10,0,0,2
"Nov 10, 2025",SAS @ CHI,W,32,19,5,11,3,0,1
"Nov 08, 2025",SAS vs. NOP,W,35,16,4,13,1,0,2
"Nov 07, 2025",SAS vs. HOU,W,36,14,6,13,2,1,5
"Nov 05, 2025",SAS @ LAL,L,37,16,5,8,3,0,6
"Nov 02, 2025",SAS @ PHX,L,34,26,7,5,2,1,2
"Oct 30, 2025",SAS vs. MIA,W,35,21,6,8,4,1,2
"Oct 27, 2025",SAS vs. TOR,W,31,22,5,4,2,0,5
"Oct 26, 2025",SAS vs. BKN,W,30,13,6,3,0,0,5
"Oct 24, 2025",SAS @ NOP,W,33,16,6,6,1,1,10
"Oct 22, 2025",SAS @ DAL,W,29,22,7,6,2,0,5
