GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2026",HOU vs. POR,W,25,5,5,0,2,2,0
"Mar 05, 2026",HOU vs. GSW,L,34,9,5,2,1,0,0
"Mar 02, 2026",HOU @ WAS,W,25,9,6,2,0,1,0
"Feb 28, 2026",HOU @ MIA,L,36,10,11,5,1,0,1
"Feb 26, 2026",HOU @ ORL,W,33,2,8,3,2,1,3
"Feb 25, 2026",HOU vs. SAC,W,21,8,2,1,1,1,0
"Feb 23, 2026",HOU vs. UTA,W,32,11,10,4,1,1,3
"Feb 21, 2026",HOU @ NYK,L,35,11,12,4,0,0,2
"Feb 19, 2026",HOU @ CHA,W,33,5,3,0,3,0,1
"Feb 11, 2026",HOU vs. LAC,L,34,13,2,3,0,0,1
"Feb 10, 2026",HOU vs. LAC,W,30,6,5,1,1,0,2
"Feb 07, 2026",HOU @ OKC,W,34,26,8,1,3,0,3
"Feb 04, 2026",HOU vs. BOS,L,28,10,4,1,0,0,0
"Feb 02, 2026",HOU @ IND,W,33,9,10,0,0,1,0
"Jan 31, 2026",HOU vs. DAL,W,31,17,7,3,2,0,1
"Jan 28, 2026",HOU vs. SAS,L,25,10,6,0,3,1,0
"Jan 26, 2026",HOU vs. MEM,W,27,17,7,0,2,1,3
"Jan 22, 2026",HOU @ PHI,L,28,13,9,2,4,0,1
"Jan 20, 2026",HOU vs. SAS,W,20,6,6,1,1,1,3
"Jan 09, 2026",HOU @ POR,L,16,6,3,2,2,1,3
"Jan 07, 2026",HOU @ POR,L,31,15,13,3,1,1,3
"Jan 05, 2026",HOU vs. PHX,W,30,12,8,2,1,0,1
"Jan 03, 2026",HOU @ DAL,L,34,19,10,2,2,0,2
"Jan 01, 2026",HOU @ BKN,W,22,15,9,0,1,1,1
"Dec 29, 2025",HOU vs. IND,W,29,13,8,1,1,1,2
"Dec 27, 2025",HOU vs. CLE,W,21,9,6,0,2,1,2
"Dec 25, 2025",HOU @ LAL,W,26,13,3,2,4,2,1
"Dec 23, 2025",HOU @ LAC,L,18,7,5,0,0,1,0
"Dec 21, 2025",HOU @ SAC,L,16,16,3,3,1,0,0
"Nov 14, 2025",HOU vs. POR,W,11,3,5,2,1,0,1
"Nov 12, 2025",HOU vs. WAS,W,21,20,6,0,0,0,0
"Nov 09, 2025",HOU @ MIL,W,19,6,8,0,0,0,0
"Nov 07, 2025",HOU @ SAS,L,25,11,3,2,2,0,4
"Nov 05, 2025",HOU @ MEM,W,32,16,5,1,1,1,0
"Nov 03, 2025",HOU vs. DAL,W,30,15,4,2,2,1,1
"Nov 01, 2025",HOU @ BOS,W,20,12,6,0,0,1,3
"Oct 29, 2025",HOU @ TOR,W,23,14,5,4,2,0,5
"Oct 27, 2025",HOU vs. BKN,W,26,22,5,5,0,1,0
"Oct 24, 2025",HOU vs. DET,L,28,4,5,2,1,0,1
"Oct 21, 2025",HOU @ OKC,L,22,3,6,0,0,1,4
