GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",PHI @ ATL,L,19,10,2,2,0,1,0
"Mar 04, 2026",PHI vs. UTA,W,22,7,7,3,0,1,1
"Mar 03, 2026",PHI vs. SAS,L,26,9,2,3,2,0,4
"Mar 01, 2026",PHI @ BOS,L,15,4,0,1,0,0,0
"Feb 26, 2026",PHI vs. MIA,W,11,2,6,3,0,0,0
"Feb 24, 2026",PHI @ IND,W,15,12,4,2,0,2,0
"Feb 22, 2026",PHI @ MIN,W,3,0,0,2,0,0,0
"Feb 19, 2026",PHI vs. ATL,L,16,4,2,0,0,0,1
"Feb 11, 2026",PHI vs. NYK,L,25,6,4,4,1,0,3
"Feb 09, 2026",PHI @ POR,L,25,12,2,3,0,0,0
"Feb 07, 2026",PHI @ PHX,W,27,6,7,2,0,2,4
"Feb 05, 2026",PHI @ LAL,L,16,6,2,2,0,0,1
"Feb 03, 2026",PHI @ GSW,W,27,16,8,3,0,2,2
"Feb 02, 2026",PHI @ LAC,W,11,3,1,1,0,0,0
"Jan 31, 2026",PHI vs. NOP,W,17,5,6,4,0,0,0
"Jan 27, 2026",PHI vs. MIL,W,6,2,1,3,1,0,0
"Jan 26, 2026",PHI @ CHA,L,17,3,2,0,1,0,1
"Jan 24, 2026",PHI vs. NYK,L,10,2,1,0,0,0,1
"Jan 22, 2026",PHI vs. HOU,W,11,4,3,3,0,1,0
"Jan 20, 2026",PHI vs. PHX,L,6,0,0,1,0,0,1
"Jan 19, 2026",PHI vs. IND,W,12,2,1,0,0,1,1
"Jan 16, 2026",PHI vs. CLE,L,10,4,2,2,0,0,1
"Jan 14, 2026",PHI vs. CLE,L,17,3,2,4,0,0,0
"Jan 12, 2026",PHI @ TOR,W,1,0,1,0,0,1,0
"Jan 11, 2026",PHI @ TOR,L,2,0,1,0,0,0,0
"Jan 07, 2026",PHI vs. WAS,W,5,0,0,3,0,0,0
"Nov 25, 2025",PHI vs. ORL,L,11,8,1,1,0,0,2
"Nov 23, 2025",PHI vs. MIA,L,26,19,9,7,1,1,1
"Nov 20, 2025",PHI @ MIL,W,14,0,6,3,1,0,1
"Nov 19, 2025",PHI vs. TOR,L,21,9,3,2,0,0,3
"Nov 17, 2025",PHI vs. LAC,W,19,8,4,4,1,0,1
"Nov 14, 2025",PHI @ DET,L,14,5,1,1,0,0,1
"Nov 11, 2025",PHI vs. BOS,W,21,7,2,1,0,0,1
"Nov 09, 2025",PHI vs. DET,L,25,7,3,2,1,0,2
"Nov 08, 2025",PHI vs. TOR,W,37,20,17,10,0,1,1
"Nov 05, 2025",PHI @ CLE,L,23,16,3,6,2,0,2
"Nov 04, 2025",PHI @ CHI,L,19,8,4,2,0,0,2
"Nov 02, 2025",PHI @ BKN,W,25,16,9,7,0,1,2
"Oct 31, 2025",PHI vs. BOS,L,11,0,0,1,0,0,1
"Oct 28, 2025",PHI @ WAS,W,18,2,4,3,0,0,1
