GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 28, 2026",WAS vs. TOR,L,19,13,3,3,0,1,1
"Feb 26, 2026",WAS @ ATL,L,17,11,3,2,0,0,1
"Feb 24, 2026",WAS @ ATL,L,22,5,6,1,0,1,3
"Feb 20, 2026",WAS vs. IND,W,20,14,8,1,1,1,1
"Feb 19, 2026",WAS vs. IND,W,17,12,5,2,5,1,0
"Feb 08, 2026",WAS vs. MIA,L,20,14,5,2,0,0,4
"Feb 07, 2026",WAS @ BKN,L,20,14,2,2,1,1,1
"Feb 05, 2026",WAS @ DET,W,11,14,3,3,1,2,3
"Jan 14, 2026",WAS @ LAC,L,8,10,1,1,0,0,0
"Jan 11, 2026",WAS @ PHX,L,4,4,1,0,1,0,0
"Jan 09, 2026",WAS vs. NOP,L,23,15,4,2,0,5,2
"Jan 07, 2026",WAS @ PHI,L,5,2,0,1,0,1,1
"Jan 04, 2026",WAS vs. MIN,L,13,8,2,2,0,1,1
"Dec 26, 2025",WAS vs. TOR,W,3,0,1,1,0,0,1
"Dec 23, 2025",WAS @ CHA,L,2,0,0,0,0,0,0
"Dec 21, 2025",WAS vs. SAS,L,27,18,9,0,0,3,0
"Dec 18, 2025",WAS @ SAS,L,5,6,2,0,0,0,0
"Dec 14, 2025",WAS @ IND,W,16,6,3,0,0,0,2
"Dec 12, 2025",WAS vs. CLE,L,15,14,5,1,0,1,3
"Dec 06, 2025",WAS vs. ATL,L,27,18,5,4,0,0,1
"Dec 04, 2025",WAS vs. BOS,L,11,10,4,1,0,1,0
"Dec 02, 2025",WAS @ PHI,L,22,16,4,4,1,0,3
"Dec 01, 2025",WAS vs. MIL,W,20,16,2,2,1,0,0
"Nov 28, 2025",WAS @ IND,L,15,5,1,2,0,1,2
"Nov 25, 2025",WAS vs. ATL,W,10,7,2,0,1,1,2
"Nov 22, 2025",WAS @ CHI,L,20,12,8,2,2,2,2
"Nov 21, 2025",WAS @ TOR,L,17,4,3,1,1,0,2
"Nov 19, 2025",WAS @ MIN,L,20,7,5,1,0,0,3
"Nov 16, 2025",WAS vs. BKN,L,7,2,2,0,0,1,1
"Nov 12, 2025",WAS @ HOU,L,7,3,1,0,0,0,0
"Nov 07, 2025",WAS vs. CLE,L,6,4,0,0,0,1,2
"Nov 05, 2025",WAS @ BOS,L,6,5,1,1,0,0,0
"Nov 03, 2025",WAS @ NYK,L,4,4,0,2,1,1,0
"Nov 01, 2025",WAS vs. ORL,L,5,0,0,0,0,0,1
"Oct 30, 2025",WAS @ OKC,L,4,3,1,1,0,0,0
"Oct 26, 2025",WAS vs. CHA,L,11,6,2,0,0,0,0
"Oct 24, 2025",WAS @ DAL,W,7,2,2,0,0,1,1
"Oct 22, 2025",WAS @ MIL,L,2,0,0,0,0,0,0
