GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",ORL @ MIL,W,27,5,6,5,1,0,1
"Mar 07, 2026",ORL @ MIN,W,31,11,7,4,2,0,0
"Mar 05, 2026",ORL vs. DAL,W,25,19,3,3,3,0,1
"Mar 03, 2026",ORL vs. WAS,W,27,8,9,1,0,1,1
"Mar 01, 2026",ORL vs. DET,L,37,19,6,2,2,1,2
"Feb 26, 2026",ORL vs. HOU,L,35,8,5,3,0,0,1
"Feb 24, 2026",ORL @ LAL,W,32,13,6,3,2,0,1
"Feb 22, 2026",ORL @ LAC,W,30,13,2,2,1,0,0
"Feb 21, 2026",ORL @ PHX,L,38,5,9,3,0,3,0
"Feb 19, 2026",ORL @ SAC,W,18,12,4,1,0,0,0
"Feb 11, 2026",ORL vs. MIL,L,23,5,4,0,0,1,1
"Feb 09, 2026",ORL vs. MIL,W,13,3,1,1,2,0,0
"Feb 07, 2026",ORL vs. UTA,W,20,8,2,2,0,0,0
"Feb 05, 2026",ORL vs. BKN,W,18,2,2,0,1,2,0
"Feb 03, 2026",ORL @ OKC,L,26,3,2,2,0,0,1
"Feb 01, 2026",ORL @ SAS,L,28,7,5,3,1,0,1
"Jan 30, 2026",ORL vs. TOR,W,22,8,1,0,0,1,0
"Jan 28, 2026",ORL @ MIA,W,21,12,2,4,3,0,1
"Jan 26, 2026",ORL @ CLE,L,9,5,1,1,1,1,1
"Jan 24, 2026",ORL vs. CLE,L,20,0,1,0,1,0,0
"Jan 22, 2026",ORL vs. CHA,L,19,3,3,1,1,0,2
"Jan 18, 2026",ORL @ MEM,L,18,4,3,0,0,1,0
"Jan 15, 2026",ORL vs. MEM,W,21,8,4,2,4,0,2
"Jan 11, 2026",ORL vs. NOP,W,19,16,0,1,0,0,0
"Jan 07, 2026",ORL @ BKN,W,24,14,3,2,1,0,0
"Jan 06, 2026",ORL @ WAS,L,22,13,1,1,2,0,2
"Jan 04, 2026",ORL vs. IND,W,28,10,0,0,1,0,1
"Jan 02, 2026",ORL @ CHI,L,25,7,3,1,1,0,2
"Dec 31, 2025",ORL @ IND,W,15,0,4,3,0,0,1
"Dec 29, 2025",ORL @ TOR,L,27,6,6,1,0,0,0
"Dec 27, 2025",ORL vs. DEN,W,30,17,5,0,1,0,0
"Dec 26, 2025",ORL vs. CHA,L,22,8,2,2,0,1,0
"Dec 13, 2025",ORL vs. NYK,L,12,0,1,0,0,0,0
"Dec 09, 2025",ORL vs. MIA,W,28,11,7,2,0,0,3
"Dec 07, 2025",ORL @ NYK,L,18,0,5,1,1,0,1
"Dec 05, 2025",ORL vs. MIA,W,25,3,5,0,1,0,2
"Dec 03, 2025",ORL vs. SAS,L,26,12,4,0,2,0,1
"Dec 01, 2025",ORL vs. CHI,W,21,0,2,1,1,1,1
"Nov 28, 2025",ORL @ DET,W,21,8,3,0,1,0,2
"Nov 25, 2025",ORL @ PHI,W,17,10,4,3,0,1,0
"Nov 23, 2025",ORL @ BOS,L,23,9,1,2,1,1,0
"Nov 22, 2025",ORL vs. NYK,W,28,4,3,4,0,0,1
"Nov 20, 2025",ORL vs. LAC,W,30,17,8,1,0,0,0
"Nov 18, 2025",ORL vs. GSW,W,29,15,4,2,1,0,2
"Nov 16, 2025",ORL @ HOU,L,40,13,6,2,3,1,0
"Nov 14, 2025",ORL vs. BKN,W,32,22,9,1,0,1,3
"Nov 12, 2025",ORL @ NYK,W,22,8,5,2,0,0,1
"Nov 10, 2025",ORL vs. POR,W,17,2,3,0,0,0,0
"Nov 09, 2025",ORL vs. BOS,L,23,12,5,0,0,0,0
"Nov 07, 2025",ORL vs. BOS,W,18,11,2,0,0,0,0
"Nov 04, 2025",ORL @ ATL,L,25,20,4,2,2,0,3
"Nov 01, 2025",ORL @ WAS,W,22,2,2,1,1,0,1
"Oct 30, 2025",ORL @ CHA,W,22,19,3,1,3,0,2
"Oct 29, 2025",ORL @ DET,L,21,15,3,0,1,0,0
"Oct 27, 2025",ORL @ PHI,L,15,0,2,1,0,0,0
"Oct 25, 2025",ORL vs. CHI,L,24,8,3,1,0,1,0
"Oct 24, 2025",ORL vs. ATL,L,24,15,6,3,3,0,1
"Oct 22, 2025",ORL vs. MIA,W,18,16,1,0,0,0,1
