GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 04, 2026",CHA @ BOS,W,5,0,0,0,0,1,0
"Feb 28, 2026",CHA vs. POR,W,1,0,0,0,0,0,0
"Feb 24, 2026",CHA @ CHI,W,7,2,3,0,0,0,0
"Feb 22, 2026",CHA @ WAS,W,4,0,1,0,0,0,1
"Feb 20, 2026",CHA vs. CLE,L,0,0,0,0,0,0,0
"Feb 19, 2026",CHA vs. HOU,L,0,0,0,0,0,0,0
"Feb 11, 2026",CHA vs. ATL,W,1,0,0,0,0,0,0
"Feb 04, 2026",BOS @ HOU,W,2,0,0,0,0,0,0
"Jan 19, 2026",BOS @ DET,L,2,0,0,0,0,0,0
"Jan 17, 2026",BOS @ ATL,W,5,0,1,0,0,0,1
"Dec 05, 2025",BOS vs. LAL,W,3,2,0,0,0,0,0
"Dec 04, 2025",BOS @ WAS,W,5,0,1,0,0,0,1
"Nov 30, 2025",BOS @ CLE,W,30,9,6,0,3,1,2
"Nov 18, 2025",BOS @ BKN,W,5,0,0,1,0,0,0
"Nov 03, 2025",BOS vs. UTA,L,6,0,2,1,1,0,0
"Nov 01, 2025",BOS vs. HOU,L,2,0,0,0,0,0,0
"Oct 31, 2025",BOS @ PHI,W,13,5,4,1,0,0,0
"Oct 29, 2025",BOS vs. CLE,W,4,0,1,0,0,0,0
"Oct 27, 2025",BOS @ NOP,W,7,4,0,1,0,0,0
"Oct 24, 2025",BOS @ NYK,L,14,7,3,0,0,0,1
"Oct 22, 2025",BOS vs. PHI,L,16,4,7,1,2,1,0
