GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Dec 07, 2025",MEM vs. POR,W,22,12,10,3,0,0,6
"Dec 05, 2025",MEM vs. LAC,W,29,10,8,1,0,2,2
"Dec 02, 2025",MEM @ SAS,L,30,19,15,1,1,1,2
"Nov 30, 2025",MEM @ SAC,W,29,32,17,0,0,5,5
"Nov 28, 2025",MEM @ LAC,W,32,5,19,2,0,3,1
"Nov 26, 2025",MEM @ NOP,W,35,21,15,0,1,2,2
"Nov 24, 2025",MEM vs. DEN,L,6,2,1,0,0,0,0
"Nov 22, 2025",MEM @ DAL,W,26,12,15,3,1,4,4
"Nov 20, 2025",MEM vs. SAC,W,25,16,4,0,2,0,0
"Nov 18, 2025",MEM @ SAS,L,25,8,11,2,0,2,3
"Nov 15, 2025",MEM @ CLE,L,25,13,7,0,2,2,1
